Date,Open,High,Low,Close,DayCount
2013-06-04,15255.219727,15304.980469,15100.780273,15177.540039,1980.0
2013-06-05,15168.099609,15168.629883,14945.570313,14960.589844,1981.0
2013-06-06,14955.450195,15040.620117,14844.219727,15040.620117,1982.0
2013-06-07,15044.459961,15255.580078,15044.459961,15248.120117,1983.0
2013-06-10,15247.809570,15300.639648,15211.250000,15238.589844,1986.0
2013-06-11,15231.379883,15251.070313,15086.089844,15122.019531,1987.0
2013-06-12,15130.389648,15241.280273,14981.209961,14995.230469,1988.0
2013-06-13,14992.540039,15202.269531,14953.450195,15176.080078,1989.0
2013-06-14,15178.080078,15205.919922,15044.799805,15070.179688,1990.0
2013-06-17,15078.709961,15261.709961,15078.709961,15179.849609,1993.0
2013-06-18,15186.299805,15340.089844,15186.299805,15318.230469,1994.0
2013-06-19,15315.469727,15322.070313,15112.110352,15112.190430,1995.0
2013-06-20,15105.509766,15105.509766,14732.030273,14758.320313,1996.0
2013-06-21,14760.620117,14858.559570,14688.429688,14799.400391,1997.0
2013-06-24,14795.790039,14795.790039,14551.269531,14659.559570,2000.0
2013-06-25,14669.690430,14812.030273,14669.690430,14760.309570,2001.0
2013-06-26,14769.990234,14938.980469,14769.679688,14910.139648,2002.0
2013-06-27,14921.280273,15075.009766,14921.280273,15024.490234,2003.0
2013-06-28,15016.580078,15034.629883,14884.799805,14909.599609,2004.0
2013-07-01,14911.599609,15083.280273,14911.599609,14974.959961,2007.0
2013-07-02,14974.959961,15049.219727,14870.509766,14932.410156,2008.0
2013-07-03,14923.730469,15025.900391,14858.929688,14988.370117,2009.0
2013-07-05,14995.459961,15137.509766,14971.200195,15135.839844,2011.0
2013-07-08,15137.219727,15262.719727,15137.219727,15224.690430,2014.0
2013-07-09,15228.459961,15320.419922,15228.459961,15300.339844,2015.0
2013-07-10,15298.030273,15348.950195,15258.889648,15291.660156,2016.0
2013-07-11,15298.000000,15483.549805,15298.000000,15460.919922,2017.0
2013-07-12,15460.690430,15498.389648,15410.269531,15464.299805,2018.0
2013-07-15,15459.690430,15509.480469,15455.769531,15484.259766,2021.0
2013-07-16,15485.030273,15498.160156,15415.709961,15451.849609,2022.0
2013-07-17,15456.919922,15502.000000,15438.120117,15470.519531,2023.0
2013-07-18,15465.910156,15589.400391,15465.910156,15548.540039,2024.0
2013-07-19,15524.269531,15544.549805,15491.959961,15543.740234,2025.0
2013-07-22,15543.969727,15576.209961,15516.200195,15545.549805,2028.0
2013-07-23,15547.000000,15604.219727,15544.059570,15567.740234,2029.0
2013-07-24,15576.690430,15602.599609,15496.839844,15542.240234,2030.0
2013-07-25,15539.169922,15560.330078,15455.589844,15555.610352,2031.0
2013-07-26,15547.849609,15560.969727,15405.160156,15558.830078,2032.0
2013-07-29,15557.139648,15557.139648,15482.269531,15521.969727,2035.0
2013-07-30,15534.490234,15593.910156,15479.129883,15520.589844,2036.0
2013-07-31,15528.570313,15634.320313,15492.959961,15499.540039,2037.0
2013-08-01,15503.849609,15650.690430,15503.849609,15628.019531,2038.0
2013-08-02,15627.559570,15658.429688,15558.679688,15658.360352,2039.0
2013-08-05,15651.980469,15655.209961,15584.830078,15612.129883,2042.0
2013-08-06,15608.440430,15608.440430,15473.400391,15518.740234,2043.0
2013-08-07,15516.209961,15516.209961,15421.750000,15470.669922,2044.0
2013-08-08,15477.269531,15557.120117,15418.599609,15498.320313,2045.0
2013-08-09,15496.629883,15507.759766,15346.650391,15425.509766,2046.0
2013-08-12,15415.219727,15441.750000,15359.929688,15419.679688,2049.0
2013-08-13,15420.679688,15504.139648,15342.339844,15451.009766,2050.0
2013-08-14,15447.709961,15453.080078,15316.620117,15337.660156,2051.0
2013-08-15,15332.709961,15332.709961,15094.030273,15112.190430,2052.0
2013-08-16,15112.570313,15139.769531,15054.379883,15081.469727,2053.0
2013-08-19,15076.790039,15106.389648,15005.419922,15010.740234,2056.0
2013-08-20,15011.820313,15074.919922,14992.160156,15002.990234,2057.0
2013-08-21,14993.809570,15019.700195,14880.839844,14897.549805,2058.0
2013-08-22,14908.599609,14989.120117,14899.000000,14963.740234,2059.0
2013-08-23,14988.780273,15025.559570,14931.240234,15010.509766,2060.0
2013-08-26,15014.580078,15049.980469,14945.240234,14946.459961,2063.0
2013-08-27,14939.250000,14939.250000,14765.419922,14776.129883,2064.0
2013-08-28,14770.990234,14867.400391,14760.410156,14824.509766,2065.0
2013-08-29,14817.910156,14916.009766,14792.110352,14840.950195,2066.0
2013-08-30,14844.099609,14848.240234,14762.349609,14810.309570,2067.0
2013-09-03,14801.549805,14933.349609,14777.480469,14833.959961,2071.0
2013-09-04,14832.419922,14956.740234,14799.089844,14930.870117,2072.0
2013-09-05,14929.490234,14987.469727,14923.269531,14937.480469,2073.0
2013-09-06,14941.549805,15009.839844,14789.400391,14922.500000,2074.0
2013-09-09,14927.190430,15088.410156,14927.190430,15063.120117,2077.0
2013-09-10,15067.230469,15192.129883,15067.230469,15191.059570,2078.0
2013-09-11,15194.129883,15326.599609,15194.129883,15326.599609,2079.0
2013-09-12,15327.139648,15345.320313,15283.259766,15300.639648,2080.0
2013-09-13,15312.860352,15380.969727,15312.860352,15376.059570,2081.0
2013-09-16,15381.360352,15549.870117,15381.360352,15494.780273,2084.0
2013-09-17,15503.150391,15555.070313,15503.150391,15529.730469,2085.0
2013-09-18,15533.030273,15709.580078,15470.160156,15676.940430,2086.0
2013-09-19,15677.860352,15695.889648,15625.450195,15636.549805,2087.0
2013-09-20,15635.089844,15654.769531,15448.089844,15451.089844,2088.0
2013-09-23,15452.309570,15466.950195,15368.250000,15401.379883,2091.0
2013-09-24,15402.540039,15433.750000,15327.139648,15334.589844,2092.0
2013-09-25,15339.019531,15372.480469,15253.160156,15273.259766,2093.0
2013-09-26,15274.419922,15387.190430,15274.419922,15328.299805,2094.0
2013-09-27,15317.450195,15317.450195,15211.809570,15258.240234,2095.0
