,Edition,Athlete,NOC,Medal
16592,1984,"LI, Kong-Zheng",CHN,Bronze
16593,1984,"LOUGANIS, Gregory",USA,Gold
16594,1984,"KIMBALL, Bruce D.",USA,Silver
16595,1984,"WYLAND-WILLIAMS, Wendy Lian",USA,Bronze
16596,1984,"ZHOU, Ji-Hong",CHN,Gold
16597,1984,"MITCHELL, Michele",USA,Silver
16598,1984,"MERRIOTT, Ronald Marshall",USA,Bronze
16599,1984,"LOUGANIS, Gregory",USA,Gold
16600,1984,"TAN, Liang-De",CHN,Silver
16601,1984,"SEUFERT, Christina",USA,Bronze
16602,1984,"BERNIER, Sylvie",CAN,Gold
16603,1984,"MCCORMICK, Kelly Anne",USA,Silver
16604,1984,"WEST, Michael",CAN,Bronze
16605,1984,"CAREY, Richard John",USA,Gold
16606,1984,"WILSON, David Dennis",USA,Silver
16607,1984,"DE ROVER, Jolanda",NED,Bronze
16608,1984,"ANDREWS, Theresa",USA,Gold
16609,1984,"MITCHELL, Elizabeth",USA,Silver
16610,1984,"EVANS, Peter",AUS,Bronze
16611,1984,"LUNDQUIST, Steven K.",USA,Gold
16612,1984,"DAVIS, Victor",CAN,Silver
16613,1984,"POIROT, Catherine",FRA,Bronze
16614,1984,"VAN STAVEREN, Petra",NED,Gold
16615,1984,"OTTENBRITE, Anne",CAN,Silver
16616,1984,"BUCHANAN, Glenn",AUS,Bronze
16617,1984,"GROSS, Michael",FRG,Gold
16618,1984,"MORALES, Pablo",USA,Silver
16619,1984,"SEICK, Karin",FRG,Bronze
16620,1984,"MEAGHER, Mary T.",USA,Gold
16621,1984,"JOHNSON, Jenna Leigh",USA,Silver
16622,1984,"JOHANSSON, Per",SWE,Bronze
16623,1984,"GAINES, Ambrose Iv",USA,Gold
16624,1984,"STOCKWELL, Marcus",AUS,Silver
16625,1984,"VERSTAPPEN, Annemarie",NED,Bronze
16626,1984,"HOGSHEAD, Nancy Lynn",USA,Gold
16627,1984,"STEINSEIFER, Carolyn",USA,Gold
16628,1984,"PFEIFFER, Stefan",FRG,Bronze
16629,1984,"O'BRIEN, Michael Jon",USA,Gold
