,Edition,Athlete,NOC,Medal
5004,1928,"GALITZEN, Michael Riley",USA,Bronze
5005,1928,"DESJARDINS, Ulise Joseph ""Peter""",USA,Gold
5006,1928,"SIMAIKA, Farid",EGY,Silver
5007,1928,"SJÖQVIST, Laura",SWE,Bronze
5008,1928,"BECKER-PINKSTON, Elizabeth",USA,Gold
5009,1928,"COLEMAN, Georgia V.",USA,Silver
5010,1928,"SIMAIKA, Farid",EGY,Bronze
5011,1928,"DESJARDINS, Ulise Joseph ""Peter""",USA,Gold
5012,1928,"GALITZEN, Michael Riley",USA,Silver
5013,1928,"COLEMAN, Georgia V.",USA,Bronze
5014,1928,"MEANY, Helen",USA,Gold
5015,1928,"POYNTON-HILL, Dorothy",USA,Silver
5016,1928,"WYATT, Paul",USA,Bronze
5017,1928,"KOJAC, George Harold",USA,Gold
5018,1928,"LAUFER, Walter",USA,Silver
5019,1928,"COOPER, Margaret Joyce",GBR,Bronze
5020,1928,"BRAUN, Maria Johanna",NED,Gold
5021,1928,"KING, Ellen Elizabeth",GBR,Silver
5022,1928,"TAKAISHI, Katsuo",JPN,Bronze
5023,1928,"WEISSMULLER, Johnny",USA,Gold
5024,1928,"BARANY, Istvan",HUN,Silver
5025,1928,"COOPER, Margaret Joyce",GBR,Bronze
5026,1928,"OSIPOWICH, Albina Lucy",USA,Gold
5027,1928,"SAVILLE, Eleanor",USA,Silver
5028,1928,"CRABBE, Clarence",USA,Bronze
5029,1928,"BORG, Arne",SWE,Gold
5030,1928,"CHARLTON, Andrew",AUS,Silver
5031,1928,"YLDEFONSO, Teofilo",PHI,Bronze
5032,1928,"TSURUTA, Yoshiyuki",JPN,Gold
5033,1928,"RADEMACHER, Erich",GER,Silver
5034,1928,"MÜHE, Charlotte",GER,Bronze
5035,1928,"SCHRADER, Hilde",GER,Gold
5036,1928,"BARON, Mietje",NED,Silver
5037,1928,"BORG, Arne",SWE,Bronze
5038,1928,"ZORRILLA, Victoriano",ARG,Gold
5039,1928,"CHARLTON, Andrew",AUS,Silver
5040,1928,"MCKIM, Josephine E.",USA,Bronze
5041,1928,"NORELIUS, Martha",USA,Gold
5042,1928,"BRAUN, Maria Johanna",NED,Silver
5043,1928,"REDFORD, Marie E.",RSA,Bronze
5044,1928,"RENNIE, Rhoda",RSA,Bronze
5045,1928,"RUSSELL, Kathleen",RSA,Bronze
5046,1928,"VAN DER GOES, Frederica Johanna",RSA,Bronze
5047,1928,"LAMBERT, Adelaide T.",USA,Gold
5048,1928,"NORELIUS, Martha",USA,Gold
5049,1928,"OSIPOWICH, Albina Lucy",USA,Gold
5050,1928,"SAVILLE, Eleanor",USA,Gold
5051,1928,"COOPER, Margaret Joyce",GBR,Silver
5052,1928,"KING, Ellen Elizabeth",GBR,Silver
5053,1928,"STEWART, Sarah Gillow Marshal",GBR,Silver
5054,1928,"TANNER, Vera",GBR,Silver
5055,1928,"AULT, Garnet Walter",CAN,Bronze
5056,1928,"BOURNE, Frederick Munroe",CAN,Bronze
5057,1928,"SPENCE, Walter",CAN,Bronze
5058,1928,"THOMPSON, James",CAN,Bronze
5059,1928,"CLAPP, Austin Rhone",USA,Gold
5060,1928,"KOJAC, George Harold",USA,Gold
5061,1928,"LAUFER, Walter",USA,Gold
5062,1928,"WEISSMULLER, Johnny",USA,Gold
5063,1928,"ARAI, Nobuo",JPN,Silver
5064,1928,"SADA, Tokuhei",JPN,Silver
5065,1928,"TAKAISHI, Katsuo",JPN,Silver
5066,1928,"YONEYAMA, Hiroshi",JPN,Silver
5067,1928,"BULTEEL, Emile J.",FRA,Bronze
5068,1928,"CUVELIER, Henri G.",FRA,Bronze
5069,1928,"DUJARDIN, Paul",FRA,Bronze
5070,1928,"KEIGNAERT, Jules",FRA,Bronze
5071,1928,"PADOU SR., Henri",FRA,Bronze
5072,1928,"ROGER, Ernest",FRA,Bronze
5073,1928,"THÉVENON, Albert",FRA,Bronze
5074,1928,"TRIBOUILLET, Achille C. M.",FRA,Bronze
5075,1928,"VAN DE PLANCKE, Albert D.",FRA,Bronze
5076,1928,"AMANN, Max",GER,Gold
5077,1928,"BÄHRE, Karl",GER,Gold
5078,1928,"BENECKE, Emil",GER,Gold
5079,1928,"BLANK, Johann",GER,Gold
5080,1928,"CORDES, Otto",GER,Gold
5081,1928,"GUNST, Fritz",GER,Gold
5082,1928,"RADEMACHER, Erich",GER,Gold
5083,1928,"RADEMACHER, Joachim",GER,Gold
5084,1928,"BARTA, István",HUN,Silver
5085,1928,"HALASSY, Oliver",HUN,Silver
5086,1928,"HOMONNAI, Márton",HUN,Silver
5087,1928,"IVÁDY, Sándor",HUN,Silver
5088,1928,"KESERU, Alajos",HUN,Silver
5089,1928,"KESERU, Ferenc",HUN,Silver
5090,1928,"VRABELY, Jozsef",HUN,Silver
5091,1928,"WIDE, Edvin",SWE,Bronze
5092,1928,"NURMI, Paavo",FIN,Gold
5093,1928,"RITOLA, Ville",FIN,Silver
5094,1928,"LAMMERS, Georg",GER,Bronze
5095,1928,"WILLIAMS, Percy",CAN,Gold
5096,1928,"LONDON, John Edward",GBR,Silver
5097,1928,"SMITH, Ethel M.",CAN,Bronze
5098,1928,"ROBINSON, Elizabeth",USA,Gold
5099,1928,"ROSENFELD, Fanny",CAN,Silver
5100,1928,"COLLIER, John",USA,Bronze
5101,1928,"ATKINSON, Sidney",RSA,Gold
5102,1928,"ANDERSON, Stephen",USA,Silver
5103,1928,"PURJE, Eino Alfred",FIN,Bronze
5104,1928,"LARVA, Harri Edvin",FIN,Gold
5105,1928,"LADOUMEGUE, Jules",FRA,Silver
5106,1928,"KÖRNIG, Helmuth",GER,Bronze
5107,1928,"WILLIAMS, Percy",CAN,Gold
5108,1928,"RANGELEY, Walter",GBR,Silver
5109,1928,"ANDERSEN, Ove",FIN,Bronze
5110,1928,"LOUKOLA, Toivo Aarne",FIN,Gold
5111,1928,"NURMI, Paavo",FIN,Silver
5112,1928,"BÜCHNER, Joachim",GER,Bronze
5113,1928,"BARBUTI, Raymond James",USA,Gold
5114,1928,"BALL, James A.",CAN,Silver
5115,1928,"TAYLOR, Frederick Morgan",USA,Bronze
5116,1928,"BURGHLEY, David George",GBR,Gold
5117,1928,"CUHEL, Frank Josef",USA,Silver
5118,1928,"GILL, Cyril William",GBR,Bronze
5119,1928,"LONDON, John Edward",GBR,Bronze
5120,1928,"RANGELEY, Walter",GBR,Bronze
5121,1928,"SMOUHA, Edward Ralph",GBR,Bronze
5122,1928,"BORAH, Charles Edward",USA,Gold
5123,1928,"QUINN, James F.",USA,Gold
5124,1928,"RUSSELL, Henry Argue",USA,Gold
5125,1928,"WYKOFF, Frank Clifford",USA,Gold
5126,1928,"CORTS, Richard",GER,Silver
5127,1928,"HOUBEN, Hubert",GER,Silver
5128,1928,"KÖRNIG, Helmuth",GER,Silver
5129,1928,"LAMMERS, Georg",GER,Silver
5130,1928,"HOLDMANN, Anny",GER,Bronze
5131,1928,"JUNKER, Helene",GER,Bronze
5132,1928,"KELLNER, Rose",GER,Bronze
5133,1928,"SCHMIDT, Helene ""Leni""",GER,Bronze
5134,1928,"COOK, Myrtle Alice",CAN,Gold
5135,1928,"ROSENFELD, Fanny",CAN,Gold
5136,1928,"SMITH, Ethel M.",CAN,Gold
5137,1928,"THOMPSON, Jean",CAN,Gold
5138,1928,"CROSS, Jessica West",USA,Silver
5139,1928,"MCNEIL, Loretta T.",USA,Silver
5140,1928,"ROBINSON, Elizabeth",USA,Silver
5141,1928,"WASHBURN, Mary T.",USA,Silver
5142,1928,"BALL, James A.",CAN,Bronze
5143,1928,"EDWARDS, Philip",CAN,Bronze
5144,1928,"GLOVER, Stanley",CAN,Bronze
5145,1928,"WILSON, Alexander S.",CAN,Bronze
5146,1928,"ALDERMAN, Frederick Pitt",USA,Gold
5147,1928,"BAIRD, George Hetzel",USA,Gold
5148,1928,"BARBUTI, Raymond James",USA,Gold
5149,1928,"SPENCER, Emerson Lane",USA,Gold
5150,1928,"ENGELHARD, Hermann",GER,Silver
5151,1928,"KREBS, Richard",GER,Silver
5152,1928,"NEUMANN, Otto",GER,Silver
5153,1928,"STORZ, Harry",GER,Silver
5154,1928,"WIDE, Edvin",SWE,Bronze
5155,1928,"RITOLA, Ville",FIN,Gold
5156,1928,"NURMI, Paavo",FIN,Silver
