,Edition,Athlete,NOC,Medal
8907,1956,"CONNER, Richard Carroll",USA,Bronze
8908,1956,"CAPILLA PEREZ, Joaquin",MEX,Gold
8909,1956,"TOBIAN, Gary Milburn",USA,Silver
8910,1956,"MYERS-POPE, Paula Jean",USA,Bronze
8911,1956,"MCCORMICK, Patricia",USA,Gold
8912,1956,"STOVER-IRWIN, Juno Roslays",USA,Silver
8913,1956,"CAPILLA PEREZ, Joaquin",MEX,Bronze
8914,1956,"CLOTWORTHY, Robert Lynn",USA,Gold
8915,1956,"HARPER, Donald De Wayne",USA,Silver
8916,1956,"MAC DONALD, Irene Margaret",CAN,Bronze
8917,1956,"MCCORMICK, Patricia",USA,Gold
8918,1956,"STUNYO, Jeanne Georgetta",USA,Silver
8919,1956,"MCKINNEY, Frank Edward Jr.",USA,Bronze
8920,1956,"THEILE, David Egmont",AUS,Gold
8921,1956,"MONCKTON, John James",AUS,Silver
8922,1956,"EDWARDS, Margaret",GBR,Bronze
8923,1956,"GRINHAM, Judith Brenda",GBR,Gold
8924,1956,"CONE, Carin Alice",USA,Silver
8925,1956,"SEARS, Mary Jane",USA,Bronze
8926,1956,"MANN, Shelley Isabel",USA,Gold
8927,1956,"RAMEY, Nancy Jane",USA,Silver
8928,1956,"CHAPMAN, Gary",AUS,Bronze
8929,1956,"HENRICKS, Jon Malcolm",AUS,Gold
8930,1956,"DEVITT, John",AUS,Silver
8931,1956,"LEECH, Faith Yvonne",AUS,Bronze
8932,1956,"FRASER, Dawn",AUS,Gold
8933,1956,"CRAPP, Lorraine Joyce",AUS,Silver
8934,1956,"BREEN, George Thomas",USA,Bronze
8935,1956,"ROSE, Murray",AUS,Gold
8936,1956,"YAMANAKA, Tsuyoshi",JPN,Silver
8937,1956,"YUNICHEV, Kharis",URS,Bronze
8938,1956,"FURUKAWA, Masaru",JPN,Gold
8939,1956,"YOSHIMURA, Masahiro",JPN,Silver
8940,1956,"TEN ELSEN, Eva-Maria",EUA,Bronze
8941,1956,"HAPPE-KREY, Ursula",EUA,Gold
8942,1956,"SZEKELY, Eva",HUN,Silver
8943,1956,"TUMPEK, György",HUN,Bronze
8944,1956,"YORZYK, William Albert Jr.",USA,Gold
8945,1956,"ISHIMOTO, Takashi",JPN,Silver
8946,1956,"BREEN, George Thomas",USA,Bronze
8947,1956,"ROSE, Murray",AUS,Gold
8948,1956,"YAMANAKA, Tsuyoshi",JPN,Silver
