,Edition,Athlete,NOC,Medal
25176,2004,"TIAN, Liang",CHN,Bronze
25177,2004,"HU, Jia",CHN,Gold
25178,2004,"HELM, Mathew",AUS,Silver
25179,2004,"TOURKY, Loudy",AUS,Bronze
25180,2004,"NEWBERY, Chantelle",AUS,Gold
25181,2004,"LAO, Lishi",CHN,Silver
25182,2004,"SAUTIN, Dmitry",RUS,Bronze
25183,2004,"PENG, Bo",CHN,Gold
25184,2004,"DESPATIE, Alexandre",CAN,Silver
25185,2004,"PAKHALINA, Ioulia",RUS,Bronze
25186,2004,"GUO, Jingjing",CHN,Gold
25187,2004,"WU, Minxia",CHN,Silver
25188,2004,"HELM, Mathew",AUS,Bronze
25189,2004,"NEWBERY, Robert",AUS,Bronze
25190,2004,"TIAN, Liang",CHN,Gold
25191,2004,"YANG, Jinghui",CHN,Gold
25192,2004,"TAYLOR, Leon",GBR,Silver
25193,2004,"WATERFIELD, Peter",GBR,Silver
25194,2004,"HARTLEY, Blythe",CAN,Bronze
25195,2004,"HEYMANS, Emilie",CAN,Bronze
25196,2004,"LAO, Lishi",CHN,Gold
25197,2004,"LI, Ting",CHN,Gold
25198,2004,"GONCHAROVA, Natalia",RUS,Silver
25199,2004,"KOLTUNOVA, Yulia",RUS,Silver
25200,2004,"BARNETT, Steven",AUS,Bronze
25201,2004,"NEWBERY, Robert",AUS,Bronze
25202,2004,"BIMIS, Thomas",GRE,Gold
25203,2004,"SIRANIDIS, Nikolaos",GRE,Gold
25204,2004,"SCHELLENBERG, Tobias",GER,Silver
25205,2004,"WELS, Andreas",GER,Silver
25206,2004,"LASHKO, Irina",AUS,Bronze
25207,2004,"NEWBERY, Chantelle",AUS,Bronze
25208,2004,"GUO, Jingjing",CHN,Gold
25209,2004,"WU, Minxia",CHN,Gold
25210,2004,"ILYINA, Vera",RUS,Silver
25211,2004,"PAKHALINA, Ioulia",RUS,Silver
25212,2004,"MORITA, Tomomi",JPN,Bronze
25213,2004,"PEIRSOL, Aaron",USA,Gold
25214,2004,"ROGAN, Markus",AUT,Silver
25215,2004,"MANAUDOU, Laure",FRA,Bronze
25216,2004,"COUGHLIN, Natalie",USA,Gold
25217,2004,"COVENTRY, Kirsty",ZIM,Silver
25218,2004,"DUBOSCQ, Hugues",FRA,Bronze
25219,2004,"KITAJIMA, Kosuke",JPN,Gold
25220,2004,"HANSEN, Brendan",USA,Silver
25221,2004,"JONES, Leisel",AUS,Bronze
25222,2004,"LUO, Xuejuan",CHN,Gold
25223,2004,"HANSON, Brooke",AUS,Silver
25224,2004,"SERDINOV, Andriy",UKR,Bronze
25225,2004,"PHELPS, Michael",USA,Gold
25226,2004,"CROCKER, Ian",USA,Silver
25227,2004,"DE BRUIJN, Inge",NED,Bronze
25228,2004,"THOMAS, Petria",AUS,Gold
25229,2004,"JEDRZEJCZAK, Otylia",POL,Silver
25230,2004,"THORPE, Ian",AUS,Bronze
25231,2004,"VAN DEN HOOGENBAND, Pieter",NED,Gold
25232,2004,"SCHOEMAN, Roland",RSA,Silver
25233,2004,"COUGHLIN, Natalie",USA,Bronze
25234,2004,"HENRY, Jodie",AUS,Gold
25235,2004,"DE BRUIJN, Inge",NED,Silver
25236,2004,"DAVIES, David",GBR,Bronze
25237,2004,"HACKETT, Grant",AUS,Gold
25238,2004,"JENSEN, Larsen",USA,Silver
25239,2004,"FLOREA, Razvan Ionut",ROU,Bronze
25240,2004,"PEIRSOL, Aaron",USA,Gold
25241,2004,"ROGAN, Markus",AUT,Silver
25242,2004,"BUSCHSCHULTE, Antje",GER,Bronze
25243,2004,"NAKAMURA, Reiko",JPN,Bronze
25244,2004,"COVENTRY, Kirsty",ZIM,Gold
25245,2004,"KOMAROVA, Stanislava",RUS,Silver
25246,2004,"HANSEN, Brendan",USA,Bronze
25247,2004,"KITAJIMA, Kosuke",JPN,Gold
25248,2004,"GYURTA, Daniel",HUN,Silver
25249,2004,"POLESKA, Anne",GER,Bronze
25250,2004,"BEARD, Amanda",USA,Gold
25251,2004,"JONES, Leisel",AUS,Silver
25252,2004,"PARRY, Stephen",GBR,Bronze
25253,2004,"PHELPS, Michael",USA,Gold
25254,2004,"YAMAMOTO, Takashi",JPN,Silver
25255,2004,"NAKANISHI, Yuko",JPN,Bronze
25256,2004,"JEDRZEJCZAK, Otylia",POL,Gold
25257,2004,"THOMAS, Petria",AUS,Silver
25258,2004,"PHELPS, Michael",USA,Bronze
25259,2004,"THORPE, Ian",AUS,Gold
25260,2004,"VAN DEN HOOGENBAND, Pieter",NED,Silver
25261,2004,"FIGUES, Solenne",FRA,Bronze
25262,2004,"POTEC, Camelia",ROU,Gold
25263,2004,"PELLEGRINI, Federica",ITA,Silver
25264,2004,"BOVELL, George",TRI,Bronze
25265,2004,"PHELPS, Michael",USA,Gold
25266,2004,"LOCHTE, Ryan",USA,Silver
25267,2004,"COVENTRY, Kirsty",ZIM,Bronze
25268,2004,"KLOCHKOVA, Yana",UKR,Gold
25269,2004,"BEARD, Amanda",USA,Silver
25270,2004,"KELLER, Klete",USA,Bronze
25271,2004,"THORPE, Ian",AUS,Gold
25272,2004,"HACKETT, Grant",AUS,Silver
25273,2004,"SANDENO, Kaitlin",USA,Bronze
25274,2004,"MANAUDOU, Laure",FRA,Gold
25275,2004,"JEDRZEJCZAK, Otylia",POL,Silver
25276,2004,"CSEH, Laszlo",HUN,Bronze
25277,2004,"PHELPS, Michael",USA,Gold
25278,2004,"VENDT, Erik",USA,Silver
25279,2004,"BARDACH, Georgina",ARG,Bronze
25280,2004,"KLOCHKOVA, Yana",UKR,Gold
25281,2004,"SANDENO, Kaitlin",USA,Silver
25282,2004,"CROCKER, Ian",USA,Bronze
25283,2004,"DUSING, Nate",USA,Bronze
25284,2004,"HALL, Gary Jr.",USA,Bronze
25285,2004,"LEZAK, Jason",USA,Bronze
25286,2004,"PHELPS, Michael",USA,Bronze
25287,2004,"WALKER, Neil",USA,Bronze
25288,2004,"WOODWARD, Gabe",USA,Bronze
25289,2004,"FERNS, Lyndon",RSA,Gold
25290,2004,"NEETHLING, Ryk",RSA,Gold
25291,2004,"SCHOEMAN, Roland",RSA,Gold
25292,2004,"TOWNSEND, Darian",RSA,Gold
25293,2004,"KENKHUIS, Johan",NED,Silver
25294,2004,"VAN DEN HOOGENBAND, Pieter",NED,Silver
25295,2004,"VEENS, Mark Hermanus",NED,Silver
25296,2004,"ZASTROW, Mitja",NED,Silver
25297,2004,"ZWERING, Klaas-Erik",NED,Silver
25298,2004,"DE BRUIJN, Inge",NED,Bronze
25299,2004,"DEKKER, Inge",NED,Bronze
25300,2004,"GROOT, Chantal",NED,Bronze
25301,2004,"KOSTEN, Annabel",NED,Bronze
25302,2004,"VELDHUIS, Marleen",NED,Bronze
25303,2004,"HENRY, Jodie",AUS,Gold
25304,2004,"MILLS, Alice",AUS,Gold
25305,2004,"RYAN, Sarah",AUS,Gold
25306,2004,"THOMAS, Petria",AUS,Gold
25307,2004,"TRICKETT, Lisbeth",AUS,Gold
25308,2004,"BENKO, Lindsay",USA,Silver
25309,2004,"CORREIA, Maritza",USA,Silver
25310,2004,"COUGHLIN, Natalie",USA,Silver
25311,2004,"JOYCE, Kara Lynn",USA,Silver
25312,2004,"LANNE, Colleen",USA,Silver
25313,2004,"THOMPSON, Jenny",USA,Silver
25314,2004,"WEIR, Amanda",USA,Silver
25315,2004,"KITAJIMA, Kosuke",JPN,Bronze
25316,2004,"MORITA, Tomomi",JPN,Bronze
25317,2004,"OKUMURA, Yoshihiro",JPN,Bronze
25318,2004,"YAMAMOTO, Takashi",JPN,Bronze
25319,2004,"CROCKER, Ian",USA,Gold
25320,2004,"GANGLOFF, Mark",USA,Gold
25321,2004,"HANSEN, Brendan",USA,Gold
25322,2004,"KRAYZELBURG, Lenny",USA,Gold
25323,2004,"LEZAK, Jason",USA,Gold
25324,2004,"PEIRSOL, Aaron",USA,Gold
25325,2004,"PHELPS, Michael",USA,Gold
25326,2004,"WALKER, Neil",USA,Gold
25327,2004,"CONRAD, Lars",GER,Silver
25328,2004,"DRIESEN, Steffen",GER,Silver
25329,2004,"KRUPPA, Jens",GER,Silver
25330,2004,"MEEUW, Helge",GER,Silver
25331,2004,"RUPPRATH, Thomas",GER,Silver
25332,2004,"BUSCHSCHULTE, Antje",GER,Bronze
25333,2004,"GOTZ, Daniela",GER,Bronze
25334,2004,"POEWE, Sarah",GER,Bronze
25335,2004,"VAN ALMSICK, Franziska",GER,Bronze
25336,2004,"HANSON, Brooke",AUS,Gold
25337,2004,"HENRY, Jodie",AUS,Gold
25338,2004,"JONES, Leisel",AUS,Gold
25339,2004,"MILLS, Alice",AUS,Gold
25340,2004,"ROONEY, Giaan",AUS,Gold
25341,2004,"SCHIPPER, Jess",AUS,Gold
25342,2004,"THOMAS, Petria",AUS,Gold
25343,2004,"BEARD, Amanda",USA,Silver
25344,2004,"COPE, Haley",USA,Silver
25345,2004,"COUGHLIN, Natalie",USA,Silver
25346,2004,"JOYCE, Kara Lynn",USA,Silver
25347,2004,"KIRK, Tara",USA,Silver
25348,2004,"KOMISARZ, Rachel",USA,Silver
25349,2004,"THOMPSON, Jenny",USA,Silver
25350,2004,"WEIR, Amanda",USA,Silver
25351,2004,"BREMBILLA, Emiliano",ITA,Bronze
25352,2004,"CAPPELLAZZO, Federico",ITA,Bronze
25353,2004,"CERCATO, Simone",ITA,Bronze
25354,2004,"MAGNINI, Filippo",ITA,Bronze
25355,2004,"PELLICIARI, Matteo",ITA,Bronze
25356,2004,"ROSOLINO, Massimiliano",ITA,Bronze
25357,2004,"GOLDBLATT, Scott",USA,Gold
25358,2004,"KELLER, Klete",USA,Gold
25359,2004,"KETCHUM, Dan",USA,Gold
25360,2004,"LOCHTE, Ryan",USA,Gold
25361,2004,"PHELPS, Michael",USA,Gold
25362,2004,"VANDERKAAY, Peter",USA,Gold
25363,2004,"HACKETT, Grant",AUS,Silver
25364,2004,"KLIM, Michael",AUS,Silver
25365,2004,"MATKOVICH, Antony",AUS,Silver
25366,2004,"PEARSON, Todd",AUS,Silver
25367,2004,"SPRENGER, Nicholas",AUS,Silver
25368,2004,"STEVENS, Craig",AUS,Silver
25369,2004,"THORPE, Ian",AUS,Silver
25370,2004,"BUSCHSCHULTE, Antje",GER,Bronze
25371,2004,"DALLMANN, Petra",GER,Bronze
25372,2004,"GOETZ, Janina Kristin",GER,Bronze
25373,2004,"HARSTICK, Sara",GER,Bronze
25374,2004,"STOCKBAUER, Hannah",GER,Bronze
25375,2004,"VAN ALMSICK, Franziska",GER,Bronze
25376,2004,"BENKO, Lindsay",USA,Gold
25377,2004,"COUGHLIN, Natalie",USA,Gold
25378,2004,"JEFFREY, Rhi",USA,Gold
25379,2004,"KOMISARZ, Rachel",USA,Gold
25380,2004,"PIPER, Carly",USA,Gold
25381,2004,"SANDENO, Kaitlin",USA,Gold
25382,2004,"VOLLMER, Dana",USA,Gold
25383,2004,"LI, Ji",CHN,Silver
25384,2004,"PANG, Jiaying",CHN,Silver
25385,2004,"XU, Yanwei",CHN,Silver
25386,2004,"YANG, Yu",CHN,Silver
25387,2004,"ZHU, Yingwen",CHN,Silver
25388,2004,"SCHOEMAN, Roland",RSA,Bronze
25389,2004,"HALL, Gary Jr.",USA,Gold
25390,2004,"DRAGANJA, Duje",CRO,Silver
25391,2004,"TRICKETT, Lisbeth",AUS,Bronze
25392,2004,"DE BRUIJN, Inge",NED,Gold
25393,2004,"METELLA, Malia",FRA,Silver
25394,2004,"MUNZ, Diana",USA,Bronze
25395,2004,"SHIBATA, Ai",JPN,Gold
25396,2004,"MANAUDOU, Laure",FRA,Silver
25397,2004,"BARTOSIK, Alison",USA,Bronze
25398,2004,"KOZLOVA, Anna",USA,Bronze
25399,2004,"DAVYDOVA, Anastasia",RUS,Gold
25400,2004,"ERMAKOVA, Anastasia",RUS,Gold
25401,2004,"TACHIBANA, Miya",JPN,Silver
25402,2004,"TAKEDA, Miho",JPN,Silver
25403,2004,"BARTOSIK, Alison",USA,Bronze
25404,2004,"CROW, Tamara",USA,Bronze
25405,2004,"DOBRATZ, Erin",USA,Bronze
25406,2004,"JASONTEK, Rebecca",USA,Bronze
25407,2004,"KOZLOVA, Anna",USA,Bronze
25408,2004,"LOWE, Sara",USA,Bronze
25409,2004,"MCFALL, Lauren",USA,Bronze
25410,2004,"NESBITT, Stephanie",USA,Bronze
25411,2004,"ZANOTTO, Kendra",USA,Bronze
25412,2004,"AZAROVA, Elena",RUS,Gold
25413,2004,"BRUSNIKINA, Olga",RUS,Gold
25414,2004,"DAVYDOVA, Anastasia",RUS,Gold
25415,2004,"ERMAKOVA, Anastasia",RUS,Gold
25416,2004,"GROMOVA, Maria",RUS,Gold
25417,2004,"KHASYANOVA, Elvira",RUS,Gold
25418,2004,"KISSELEVA, Maria",RUS,Gold
25419,2004,"NOVOKSHCHENOVA, Olga",RUS,Gold
25420,2004,"SHORINA, Anna",RUS,Gold
25421,2004,"FUJIMARU, Michiyo",JPN,Silver
25422,2004,"HARADA, Saho",JPN,Silver
