,Edition,Athlete,NOC,Medal
9792,1960,"PHELPS, Brian Eric",GBR,Bronze
9793,1960,"WEBSTER, Robert David",USA,Gold
9794,1960,"TOBIAN, Gary Milburn",USA,Silver
9795,1960,"KRUTOVA, Ninel",URS,Bronze
9796,1960,"KRÄMER-ENGEL-GULBIN, Ingrid",EUA,Gold
9797,1960,"MYERS-POPE, Paula Jean",USA,Silver
9798,1960,"BOTELLA MEDINA, Juan",MEX,Bronze
9799,1960,"TOBIAN, Gary Milburn",USA,Gold
9800,1960,"HALL, Samuel Nesley",USA,Silver
9801,1960,"FERRIS, Elizabeth Anne E.",GBR,Bronze
9802,1960,"KRÄMER-ENGEL-GULBIN, Ingrid",EUA,Gold
9803,1960,"MYERS-POPE, Paula Jean",USA,Silver
9804,1960,"BENNETT, Robert Earl",USA,Bronze
9805,1960,"THEILE, David Egmont",AUS,Gold
9806,1960,"MCKINNEY, Frank Edward Jr.",USA,Silver
9807,1960,"TANAKA, Satoko",JPN,Bronze
9808,1960,"BURKE, Lynn Edythe",USA,Gold
9809,1960,"STEWARD, Natalie Alwyne",GBR,Silver
9810,1960,"ANDREW, Janice",AUS,Bronze
9811,1960,"SCHULER, Carolyn Jane",USA,Gold
9812,1960,"HEEMSKERK, Marianne Yvonne",NED,Silver
9813,1960,"DOS SANTOS, Manoel",BRA,Bronze
9814,1960,"DEVITT, John",AUS,Gold
9815,1960,"LARSON, Lance Melvin",USA,Silver
9816,1960,"STEWARD, Natalie Alwyne",GBR,Bronze
9817,1960,"FRASER, Dawn",AUS,Gold
9818,1960,"VON SALTZA, Susan Christina",USA,Silver
9819,1960,"BREEN, George Thomas",USA,Bronze
9820,1960,"KONRADS, John (Jon)",AUS,Gold
9821,1960,"ROSE, Murray",AUS,Silver
9822,1960,"MENSONIDES, Wieger Emile",NED,Bronze
9823,1960,"MULLIKEN, William Danforth",USA,Gold
9824,1960,"OSAKI, Yoshihiko",JPN,Silver
9825,1960,"GÖBEL, Barbara",EUA,Bronze
9826,1960,"LONSBROUGH, Anita",GBR,Gold
9827,1960,"URSELMANN, Wiltrud",EUA,Silver
9828,1960,"GILLANDERS, John David",USA,Bronze
9829,1960,"TROY, Michael Francis",USA,Gold
9830,1960,"HAYES, Neville",AUS,Silver
9831,1960,"KONRADS, John (Jon)",AUS,Bronze
9832,1960,"ROSE, Murray",AUS,Gold
9833,1960,"YAMANAKA, Tsuyoshi",JPN,Silver
9834,1960,"LAGERBERG, Catharina (Tineke)",NED,Bronze
9835,1960,"VON SALTZA, Susan Christina",USA,Gold
9836,1960,"CEDERQVIST, Jane",SWE,Silver
9837,1960,"BRUNNER, Ursula",EUA,Bronze
9838,1960,"PECHSTEIN, Heidi",EUA,Bronze
9839,1960,"STEFFIN, Christel",EUA,Bronze
9840,1960,"WEISS, Gisela",EUA,Bronze
9841,1960,"SPILLANE, Joan Arlene",USA,Gold
9842,1960,"STOBS, Shirley Anne",USA,Gold
9843,1960,"VON SALTZA, Susan Christina",USA,Gold
9844,1960,"WOOD, Carolyn Virginia",USA,Gold
9845,1960,"COLQUHOUN, Alva",AUS,Silver
9846,1960,"CRAPP, Lorraine Joyce",AUS,Silver
9847,1960,"FRASER, Dawn",AUS,Silver
9848,1960,"KONRADS, Ilsa",AUS,Silver
9849,1960,"HIRAKIDA, Koichi",JPN,Bronze
9850,1960,"OSAKI, Yoshihiko",JPN,Bronze
9851,1960,"SHIMIZU, Keigo",JPN,Bronze
9852,1960,"TOMITA, Kazuo",JPN,Bronze
9853,1960,"FARRELL, Felix Geoffrey",USA,Gold
9854,1960,"HAIT, Paul William",USA,Gold
9855,1960,"LARSON, Lance Melvin",USA,Gold
9856,1960,"MCKINNEY, Frank Edward Jr.",USA,Gold
9857,1960,"GATHERCOLE, Terence",AUS,Silver
9858,1960,"HAYES, Neville",AUS,Silver
9859,1960,"SHIPTON, Geoffrey",AUS,Silver
9860,1960,"THEILE, David Egmont",AUS,Silver
9861,1960,"BRUNNER, Ursula",EUA,Bronze
