,Edition,Athlete,NOC,Medal
7204,1948,"CAPILLA PEREZ, Joaquin",MEX,Bronze
7205,1948,"LEE, Samuel",USA,Gold
7206,1948,"HARLAN, Bruce Ira",USA,Silver
7207,1948,"CHRISTOFFERSEN-HANSON, Birte",DEN,Bronze
7208,1948,"DRAVES, Victoria Manalo",USA,Gold
7209,1948,"ELSENER, Patricia Anne",USA,Silver
7210,1948,"LEE, Samuel",USA,Bronze
7211,1948,"HARLAN, Bruce Ira",USA,Gold
7212,1948,"ANDERSON, Miller Altman",USA,Silver
7213,1948,"ELSENER, Patricia Anne",USA,Bronze
7214,1948,"DRAVES, Victoria Manalo",USA,Gold
7215,1948,"OLSEN-JENSEN, Zoe-Ann",USA,Silver
7216,1948,"VALLEREY JR., Georges",FRA,Bronze
7217,1948,"STACK, Allen Mcintyre",USA,Gold
7218,1948,"COWELL, Robert Elmer",USA,Silver
7219,1948,"DAVIES, Judith Joy",AUS,Bronze
7220,1948,"HARUP, Karen Margrethe",DEN,Gold
7221,1948,"ZIMMERMAN, Suzanne Winona",USA,Silver
7222,1948,"KADAS, Geza",HUN,Bronze
7223,1948,"RIS, Walter Stephen",USA,Gold
7224,1948,"FORD, Alan Robert",USA,Silver
7225,1948,"LINSSEN-VAESSEN, Marie-Louise Jean",NED,Bronze
7226,1948,"ANDERSEN, Greta Marie",DEN,Gold
7227,1948,"CURTIS, Ann Elisabeth",USA,Silver
7228,1948,"MITRO, György",HUN,Bronze
7229,1948,"MCLANE, James Price Jr.",USA,Gold
7230,1948,"MARSHALL, John Birnie",AUS,Silver
7231,1948,"SOHL, Robert Raymond",USA,Bronze
7232,1948,"VERDEUR, Joseph Thomas",USA,Gold
7233,1948,"CARTER, Keith Eyre",USA,Silver
7234,1948,"NOVAK-GERARD, Eva",HUN,Bronze
7235,1948,"VAN VLIET, Petronella (Nel)",NED,Gold
7236,1948,"LYONS, Beatrice Nancy",AUS,Silver
7237,1948,"MARSHALL, John Birnie",AUS,Bronze
7238,1948,"SMITH, William M. Jr.",USA,Gold
7239,1948,"MCLANE, James Price Jr.",USA,Silver
7240,1948,"GIBSON, Catherine",GBR,Bronze
7241,1948,"CURTIS, Ann Elisabeth",USA,Gold
7242,1948,"HARUP, Karen Margrethe",DEN,Silver
7243,1948,"HEIJTING-SCHUHMACHER, Irma",NED,Bronze
7244,1948,"LINSSEN-VAESSEN, Marie-Louise Jean",NED,Bronze
7245,1948,"MARSMAN, Margot",NED,Bronze
7246,1948,"TERMEULEN, Johanna Maria",NED,Bronze
7247,1948,"CORRIDON, Marie Louise",USA,Gold
7248,1948,"CURTIS, Ann Elisabeth",USA,Gold
7249,1948,"HELSER, Brenda Merserau",USA,Gold
