,Edition,Athlete,NOC,Medal
23161,2000,"SAUTIN, Dmitry",RUS,Bronze
23162,2000,"TIAN, Liang",CHN,Gold
23163,2000,"HU, Jia",CHN,Silver
23164,2000,"MONTMINY, Anne Katherine",CAN,Bronze
23165,2000,"WILKINSON, Laura",USA,Gold
23166,2000,"LI, Na",CHN,Silver
23167,2000,"SAUTIN, Dmitry",RUS,Bronze
23168,2000,"XIONG, Ni",CHN,Gold
23169,2000,"PLATAS, Fernando",MEX,Silver
23170,2000,"LINDNER, Doerte",GER,Bronze
23171,2000,"FU, Mingxia",CHN,Gold
23172,2000,"GUO, Jingjing",CHN,Silver
23173,2000,"HEMPEL, Jan",GER,Bronze
23174,2000,"MEYER, Heiko",GER,Bronze
23175,2000,"LOUKACHINE, Igor",RUS,Gold
23176,2000,"SAUTIN, Dmitry",RUS,Gold
23177,2000,"HU, Jia",CHN,Silver
23178,2000,"TIAN, Liang",CHN,Silver
23179,2000,"GILMORE, Rebecca",AUS,Bronze
23180,2000,"TOURKY, Loudy",AUS,Bronze
23181,2000,"LI, Na",CHN,Gold
23182,2000,"SANG, Xue",CHN,Gold
23183,2000,"HEYMANS, Emilie",CAN,Silver
23184,2000,"MONTMINY, Anne Katherine",CAN,Silver
23185,2000,"NEWBERY, Robert",AUS,Bronze
23186,2000,"PULLAR, Dean",AUS,Bronze
23187,2000,"XIAO, Hailiang",CHN,Gold
23188,2000,"XIONG, Ni",CHN,Gold
23189,2000,"DOBROSKOK, Alexandre",RUS,Silver
23190,2000,"SAUTIN, Dmitry",RUS,Silver
23191,2000,"SOROKINA, Ganna",UKR,Bronze
23192,2000,"ZHUPINA, Olena",UKR,Bronze
23193,2000,"ILYINA, Vera",RUS,Gold
23194,2000,"PAKHALINA, Ioulia",RUS,Gold
23195,2000,"FU, Mingxia",CHN,Silver
23196,2000,"GUO, Jingjing",CHN,Silver
23197,2000,"THELOKE, Stev",GER,Bronze
23198,2000,"KRAYZELBURG, Lenny",USA,Gold
23199,2000,"WELSH, Matthew",AUS,Silver
23200,2000,"ZHIVANEVSKAYA, Nina Alexandrovna",ESP,Bronze
23201,2000,"MOCANU, Diana",ROU,Gold
23202,2000,"NAKAMURA, Mai",JPN,Silver
23203,2000,"SLUDNOV, Roman",RUS,Bronze
23204,2000,"FIORAVANTI, Domenico",ITA,Gold
23205,2000,"MOSES, Ed",USA,Silver
23206,2000,"HEYNS, Penelope",RSA,Bronze
23207,2000,"QUANN, Megan",USA,Gold
23208,2000,"JONES, Leisel",AUS,Silver
23209,2000,"HUEGILL, Geoff",AUS,Bronze
23210,2000,"FROLANDER, Lars",SWE,Gold
23211,2000,"KLIM, Michael",AUS,Silver
23212,2000,"TORRES, Dara",USA,Bronze
23213,2000,"DE BRUIJN, Inge",NED,Gold
23214,2000,"MORAVCOVA, Martina",SVK,Silver
23215,2000,"HALL, Gary Jr.",USA,Bronze
23216,2000,"VAN DEN HOOGENBAND, Pieter",NED,Gold
23217,2000,"POPOV, Alexander",RUS,Silver
23218,2000,"THOMPSON, Jenny",USA,Bronze
23219,2000,"TORRES, Dara",USA,Bronze
23220,2000,"DE BRUIJN, Inge",NED,Gold
23221,2000,"ALSHAMMAR, Therese",SWE,Silver
23222,2000,"THOMPSON, Chris",USA,Bronze
23223,2000,"HACKETT, Grant",AUS,Gold
23224,2000,"PERKINS, Kieren John",AUS,Silver
23225,2000,"WELSH, Matthew",AUS,Bronze
23226,2000,"KRAYZELBURG, Lenny",USA,Gold
23227,2000,"PEIRSOL, Aaron",USA,Silver
23228,2000,"NAKAO, Miki",JPN,Bronze
23229,2000,"MOCANU, Diana",ROU,Gold
23230,2000,"MARACINEANU, Roxana",FRA,Silver
23231,2000,"RUMMOLO, Davide",ITA,Bronze
23232,2000,"FIORAVANTI, Domenico",ITA,Gold
23233,2000,"PARKIN, Terence",RSA,Silver
23234,2000,"BEARD, Amanda",USA,Bronze
23235,2000,"KOVACS, Agnes",HUN,Gold
23236,2000,"KOWAL, Kristy",USA,Silver
23237,2000,"NORRIS, Justin",AUS,Bronze
23238,2000,"MALCHOW, Tom",USA,Gold
23239,2000,"SYLANTYEV, Denys",UKR,Silver
23240,2000,"THOMAS, Petria",AUS,Bronze
23241,2000,"HYMAN, Misty",USA,Gold
23242,2000,"O'NEILL, Susan",AUS,Silver
23243,2000,"ROSOLINO, Massimiliano",ITA,Bronze
23244,2000,"VAN DEN HOOGENBAND, Pieter",NED,Gold
23245,2000,"THORPE, Ian",AUS,Silver
23246,2000,"POLL AHRENS, Claudia",CRC,Bronze
23247,2000,"O'NEILL, Susan",AUS,Gold
