,Edition,Athlete,NOC,Medal
2822,1920,"PRIESTE, Harry",USA,Bronze
2823,1920,"PINKSTON, Clarence",USA,Gold
2824,1920,"ADLERZ, Erik",SWE,Silver
2825,1920,"OLLIVIER, Eva",SWE,Bronze
2826,1920,"FRYLAND CLAUSEN, Stefani",DEN,Gold
2827,1920,"ARMSTRONG, Beatrix Eileen",GBR,Silver
2828,1920,"BALBACH, Louis James",USA,Bronze
2829,1920,"KUEHN, Louis",USA,Gold
2830,1920,"PINKSTON, Clarence",USA,Silver
2831,1920,"PAYNE, Thelma",USA,Bronze
2832,1920,"RIGGIN, Aileen",USA,Gold
2833,1920,"WAINWRIGHT, Helen",USA,Silver
2834,1920,"JANSSON, John",SWE,Bronze
2835,1920,"WALLMAN, Arvid",SWE,Gold
2836,1920,"SKOGLUND, Nils",SWE,Silver
2837,1920,"BLITZ, Gerard",BEL,Bronze
2838,1920,"KEALOHA, Warren Paoa",USA,Gold
2839,1920,"KEGERIS, Raymond",USA,Silver
2840,1920,"HARRIS, William",USA,Bronze
2841,1920,"KAHANAMOKU, Duke Paoa",USA,Gold
2842,1920,"KEALOHA, Pua Kela",USA,Silver
2843,1920,"SCHROTH, Frances",USA,Bronze
2844,1920,"BLEIBTREY, Ethelda",USA,Gold
2845,1920,"GUEST, Irene",USA,Silver
2846,1920,"BEAUREPAIRE, Frank E.",AUS,Bronze
2847,1920,"ROSS, Norman",USA,Gold
2848,1920,"VERNOT, George",CAN,Silver
2849,1920,"AALTONEN, Arvo Ossian",FIN,Bronze
2850,1920,"MALMROT, Hakan",SWE,Gold
2851,1920,"HENNING, Tor",SWE,Silver
2852,1920,"AALTONEN, Arvo Ossian",FIN,Bronze
2853,1920,"MALMROT, Hakan",SWE,Gold
2854,1920,"HENNING, Tor",SWE,Silver
2855,1920,"VERNOT, George",CAN,Bronze
2856,1920,"ROSS, Norman",USA,Gold
2857,1920,"LANGER, Ludy",USA,Silver
2858,1920,"SCHROTH, Frances",USA,Bronze
2859,1920,"BLEIBTREY, Ethelda",USA,Gold
2860,1920,"WOODBRIDGE, Margaret",USA,Silver
2861,1920,"BERG, Aina",SWE,Bronze
2862,1920,"GYLLING, Jane",SWE,Bronze
2863,1920,"MACHNOW, Emy",SWE,Bronze
2864,1920,"NILSSON, Karin",SWE,Bronze
2865,1920,"BLEIBTREY, Ethelda",USA,Gold
2866,1920,"GUEST, Irene",USA,Gold
2867,1920,"SCHROTH, Frances",USA,Gold
2868,1920,"WOODBRIDGE, Margaret",USA,Gold
2869,1920,"JAMES, Hilda",GBR,Silver
2870,1920,"JEANS, Constance Mabel",GBR,Silver
2871,1920,"MAC KENZIE, Grace",GBR,Silver
2872,1920,"RADCLIFFE, Charlotte",GBR,Silver
2873,1920,"ANNISON, Harold Edward",GBR,Bronze
2874,1920,"PETER, Edward Percival",GBR,Bronze
2875,1920,"SAVAGE, Leslie",GBR,Bronze
2876,1920,"TAYLOR, Henry",GBR,Bronze
2877,1920,"KAHANAMOKU, Duke Paoa",USA,Gold
2878,1920,"KEALOHA, Pua Kela",USA,Gold
2879,1920,"MCGILLIVRAY, Perry",USA,Gold
2880,1920,"ROSS, Norman",USA,Gold
2881,1920,"BEAUREPAIRE, Frank E.",AUS,Silver
2882,1920,"HAY, Henry",AUS,Silver
2883,1920,"HERALD, William",AUS,Silver
2884,1920,"STEDMAN, Ivan",AUS,Silver
2885,1920,"ANDERSSON, Erik",SWE,Bronze
2886,1920,"ANDERSSON, Robert T.",SWE,Bronze
2887,1920,"ANDERSSON, Vilhelm",SWE,Bronze
2888,1920,"BACKLUND, Nils",SWE,Bronze
2889,1920,"BERGQVIST, Erik",SWE,Bronze
2890,1920,"GUMPEL, Max",SWE,Bronze
2891,1920,"HANSSON, Pontus",SWE,Bronze
2892,1920,"JULIN, Harald S.A.",SWE,Bronze
2893,1920,"NAUMANN, Theodor",SWE,Bronze
2894,1920,"BUGBEE, Charles",GBR,Gold
2895,1920,"DEAN, William Henry",GBR,Gold
