,Edition,Athlete,NOC,Medal
8018,1952,"HAASE, Günther",GER,Bronze
8019,1952,"LEE, Samuel",USA,Gold
8020,1952,"CAPILLA PEREZ, Joaquin",MEX,Silver
8021,1952,"STOVER-IRWIN, Juno Roslays",USA,Bronze
8022,1952,"MCCORMICK, Patricia",USA,Gold
8023,1952,"MYERS-POPE, Paula Jean",USA,Silver
8024,1952,"CLOTWORTHY, Robert Lynn",USA,Bronze
8025,1952,"BROWNING, David Grieg Jr.",USA,Gold
8026,1952,"ANDERSON, Miller Altman",USA,Silver
8027,1952,"OLSEN-JENSEN, Zoe-Ann",USA,Bronze
8028,1952,"MCCORMICK, Patricia",USA,Gold
8029,1952,"MOREAU, Madeleine",FRA,Silver
8030,1952,"TAYLOR, Jack George Neil",USA,Bronze
8031,1952,"OYAKAWA, Yoshinobu",USA,Gold
8032,1952,"BOZON, Gilbert",FRA,Silver
8033,1952,"STEWART, Jean",NZL,Bronze
8034,1952,"HARRISON, Joan Cynthia",RSA,Gold
8035,1952,"WIELEMA, Geertje",NED,Silver
8036,1952,"LARSSON, Göran",SWE,Bronze
8037,1952,"SCHOLES, Clark Currie",USA,Gold
8038,1952,"SUZUKI, Hiroshi",JPN,Silver
8039,1952,"TEMES, Judith",HUN,Bronze
8040,1952,"SZÖKE, Katalin",HUN,Gold
8041,1952,"TERMEULEN, Johanna Maria",NED,Silver
8042,1952,"OKAMOTO, Tetsuo",BRA,Bronze
8043,1952,"KONNO, Ford Hiroshi",USA,Gold
8044,1952,"HASHIZUME, Shiro",JPN,Silver
8045,1952,"KLEIN, Herbert",GER,Bronze
8046,1952,"DAVIES, John Griffith",AUS,Gold
8047,1952,"STASSFORTH, Bowen Dow",USA,Silver
8048,1952,"GORDON-MCKAY, Helen Orr",GBR,Bronze
8049,1952,"SZEKELY, Eva",HUN,Gold
8050,1952,"NOVAK-GERARD, Eva",HUN,Silver
8051,1952,"ÖSTRAND, Per-Olof",SWE,Bronze
8052,1952,"BOITEUX, Jean",FRA,Gold
8053,1952,"KONNO, Ford Hiroshi",USA,Silver
8054,1952,"KAWAMOTO, Evelyn Tokue",USA,Bronze
8055,1952,"GYENGE, Valeria",HUN,Gold
8056,1952,"NOVAK-GERARD, Eva",HUN,Silver
8057,1952,"ALDERSON-ROSAZZA, Joan Ann",USA,Bronze
8058,1952,"KAWAMOTO, Evelyn Tokue",USA,Bronze
8059,1952,"LA VINE, Jacqueline Carol",USA,Bronze
8060,1952,"STEPAN, Mary Louise",USA,Bronze
8061,1952,"NOVAK, Ilona",HUN,Gold
8062,1952,"NOVAK-GERARD, Eva",HUN,Gold
8063,1952,"SZÖKE, Katalin",HUN,Gold
8064,1952,"TEMES, Judith",HUN,Gold
8065,1952,"HEIJTING-SCHUHMACHER, Irma",NED,Silver
8066,1952,"LINSSEN-VAESSEN, Marie-Louise Jean",NED,Silver
8067,1952,"TERMEULEN, Johanna Maria",NED,Silver
8068,1952,"VAN VOORN, Cornelia (Koosje)",NED,Silver
8069,1952,"BERNARDO, Joseph",FRA,Bronze
8070,1952,"BOITEUX, Jean",FRA,Bronze
8071,1952,"EMINENTE, Aldo",FRA,Bronze
8072,1952,"JANY, Alexandre",FRA,Bronze
8073,1952,"KONNO, Ford Hiroshi",USA,Gold
8074,1952,"MCLANE, James Price Jr.",USA,Gold
8075,1952,"MOORE, Wayne Richard",USA,Gold
8076,1952,"WOOLSEY, William Tripp",USA,Gold
8077,1952,"GOTO, Toru",JPN,Silver
8078,1952,"HAMAGUCHI, Yoshihiro",JPN,Silver
8079,1952,"SUZUKI, Hiroshi",JPN,Silver
8080,1952,"TANIKAWA, Teijiro",JPN,Silver
8081,1952,"ARENA, Ermenegildo",ITA,Bronze
8082,1952,"CECCARINI, Lucio",ITA,Bronze
8083,1952,"DE SANZUANE, Renato",ITA,Bronze
8084,1952,"GAMBINO, Raffaello",ITA,Bronze
8085,1952,"GIONTA, Salvatore",ITA,Bronze
8086,1952,"MANNELLI, Maurizio",ITA,Bronze
8087,1952,"OGNIO, Geminio",ITA,Bronze
8088,1952,"PERETTI, Carlo",ITA,Bronze
8089,1952,"POLITO, Vincenzo",ITA,Bronze
8090,1952,"RUBINI, Cesare",ITA,Bronze
8091,1952,"TRAIOLA, Renato",ITA,Bronze
8092,1952,"ANTAL, Robert",HUN,Gold
8093,1952,"BOLVARI, Antal",HUN,Gold
8094,1952,"FABIAN, Dezsö",HUN,Gold
8095,1952,"GYARMATI, Dezso",HUN,Gold
8096,1952,"HASZNOS, Istvan",HUN,Gold
8097,1952,"JENEI, Laszlo",HUN,Gold
8098,1952,"KARPATI, György",HUN,Gold
8099,1952,"LEMHENYI, DezsÃ¶",HUN,Gold
8100,1952,"MARKOVICS, Kalman",HUN,Gold
8101,1952,"MARTIN, Miklos",HUN,Gold
8102,1952,"SZITTYA, Karoly",HUN,Gold
8103,1952,"SZIVOS, Istvan",HUN,Gold
8104,1952,"VIZVARI, György",HUN,Gold
8105,1952,"BAKASUN, Veljko",YUG,Silver
8106,1952,"BRAINOVIC, Marko",YUG,Silver
8107,1952,"IVKOVIC, Vladimir",YUG,Silver
8108,1952,"JEZIC, Zdravko",YUG,Silver
8109,1952,"KOVACIC, Zdravko",YUG,Silver
8110,1952,"KURTINI, Ivo",YUG,Silver
8111,1952,"RADONIC, Lovro",YUG,Silver
8112,1952,"STAKULA, Ivo",YUG,Silver
8113,1952,"VUKSANOVIC, Bosko",YUG,Silver
8114,1952,"ANUFRIYEV, Aleksandr",URS,Bronze
8115,1952,"ZATOPEK, Emil",TCH,Gold
8116,1952,"MIMOUN, Alain",FRA,Silver
8117,1952,"JUNK, Bruno",URS,Bronze
8118,1952,"MIKAELSSON, John",SWE,Gold
8119,1952,"SCHWAB, Erich Arthur Fritz",SUI,Silver
8120,1952,"BAILEY, Emmanuel Mcdonald",GBR,Bronze
8121,1952,"REMIGINO, Lindy",USA,Gold
8122,1952,"MCKENLEY, Herbert",JAM,Silver
8123,1952,"STRICKLAND-DE LA HUNTY, Shirley",AUS,Bronze
8124,1952,"JACKSON, Marjorie",AUS,Gold
8125,1952,"ROBB-HASENJÄGER, Daphne Lilian Evelyn",RSA,Silver
8126,1952,"BARNARD, Arthur",USA,Bronze
8127,1952,"DILLARD, Harrison",USA,Gold
8128,1952,"DAVIS, Jack",USA,Silver
8129,1952,"LUEG, Werner",GER,Bronze
8130,1952,"BARTHEL, Joseph",LUX,Gold
8131,1952,"MCMILLEN, Robert",USA,Silver
8132,1952,"GATHERS, James",USA,Bronze
8133,1952,"STANFIELD, Andrew William",USA,Gold
8134,1952,"BAKER, Walter Thane",USA,Silver
8135,1952,"KHNYKINA-DVALISHVILI, Nadezhda",URS,Bronze
8136,1952,"JACKSON, Marjorie",AUS,Gold
8137,1952,"BROUWER, Bertha",NED,Silver
8138,1952,"DISLEY, John Ivor",GBR,Bronze
8139,1952,"ASHENFELTER, Horace III",USA,Gold
8140,1952,"KAZANTSEV, Vladimir",URS,Silver
8141,1952,"MATSON, Oliver Adrian",USA,Bronze
8142,1952,"RHODEN, Vincent George",JAM,Gold
8143,1952,"MCKENLEY, Herbert",JAM,Silver
8144,1952,"HOLLAND, John Macfarlane",NZL,Bronze
8145,1952,"MOORE, Charles Hewes Jr.",USA,Gold
8146,1952,"LITUEV, Yuri",URS,Silver
8147,1952,"CSANYI, György",HUN,Bronze
8148,1952,"GOLDOVANYI, Bela",HUN,Bronze
8149,1952,"VARASDI, Geza",HUN,Bronze
8150,1952,"ZARANDI, Laszlo",HUN,Bronze
8151,1952,"DILLARD, Harrison",USA,Gold
8152,1952,"REMIGINO, Lindy",USA,Gold
8153,1952,"SMITH, Finis Dean",USA,Gold
8154,1952,"STANFIELD, Andrew William",USA,Gold
8155,1952,"KALYAEV, Lev",URS,Silver
8156,1952,"SANADZE, Levan",URS,Silver
8157,1952,"SUKHAREV, Vladimir",URS,Silver
8158,1952,"TOKAREV, Boris",URS,Silver
8159,1952,"ARMITAGE, Heather Joy",GBR,Bronze
8160,1952,"CHEESEMAN, Sylvia",GBR,Bronze
8161,1952,"DESFORGES, Jean Catherine",GBR,Bronze
8162,1952,"FOULDS-PAUL, June Florence",GBR,Bronze
8163,1952,"FAGGS, Mae Heriwentha",USA,Gold
8164,1952,"HARDY, Catherine",USA,Gold
8165,1952,"JONES, Barbara Pearl",USA,Gold
8166,1952,"MOREAU, Janet Theresa",USA,Gold
8167,1952,"KLEIN, Helga",GER,Silver
8168,1952,"KNAB, Ulla",GER,Silver
8169,1952,"PETERSEN-KALLENSEE, Marga",GER,Silver
8170,1952,"SANDER-DOMAGELLA, Maria",GER,Silver
8171,1952,"GEISTER, Hans",GER,Bronze
8172,1952,"HAAS, Karl-Friedrich",GER,Bronze
8173,1952,"STEINES, Günther",GER,Bronze
8174,1952,"ULZHEIMER, Heinz",GER,Bronze
8175,1952,"LAING, Leslie",JAM,Gold
8176,1952,"MCKENLEY, Herbert",JAM,Gold
8177,1952,"RHODEN, Vincent George",JAM,Gold
8178,1952,"WINT, Arthur",JAM,Gold
8179,1952,"COLE, Gerrard Eugene",USA,Silver
8180,1952,"MATSON, Oliver Adrian",USA,Silver
8181,1952,"MOORE, Charles Hewes Jr.",USA,Silver
8182,1952,"WHITFIELD, Malvin Groston",USA,Silver
8183,1952,"SCHADE, Herbert",GER,Bronze
8184,1952,"ZATOPEK, Emil",TCH,Gold
8185,1952,"MIMOUN, Alain",FRA,Silver
8186,1952,"ROKA, Antal",HUN,Bronze
8187,1952,"DORDONI, Giuseppe",ITA,Gold
8188,1952,"DOLEZAL, Josef",TCH,Silver
8189,1952,"ULZHEIMER, Heinz",GER,Bronze
8190,1952,"WHITFIELD, Malvin Groston",USA,Gold
8191,1952,"WINT, Arthur",JAM,Silver
8192,1952,"SANDER-DOMAGELLA, Maria",GER,Bronze
8193,1952,"STRICKLAND-DE LA HUNTY, Shirley",AUS,Gold
8194,1952,"GOLUBNICHAYA, Mariya",URS,Silver
8195,1952,"SIMMONS, Floyd Macon Jr.",USA,Bronze
8196,1952,"MATHIAS, Robert",USA,Gold
8197,1952,"CAMPBELL, Milton Gray",USA,Silver
8198,1952,"DILLION, James Leo",USA,Bronze
8199,1952,"INESS, Simeon Garland",USA,Gold
8200,1952,"CONSOLINI, Adolfo",ITA,Silver
8201,1952,"DUMBADZE, Nina",URS,Bronze
8202,1952,"ROMASHKOVA-PONOMAREVA, Nina",URS,Gold
8203,1952,"BAGRYANTSEVA, Elizaveta",URS,Silver
8204,1952,"NEMETH, Imre",HUN,Bronze
8205,1952,"CSERMAK, Jozsef",HUN,Gold
8206,1952,"STORCH, Karl",GER,Silver
8207,1952,"TELLES DA CONCEICAO, Jose",BRA,Bronze
8208,1952,"DAVIS, Walter Francis",USA,Gold
8209,1952,"WIESNER, Kenneth George",USA,Silver
8210,1952,"CHUDINA, Aleksandra",URS,Bronze
8211,1952,"BRAND, Esther Cornelia",RSA,Gold
8212,1952,"LERWILL, Sheila",GBR,Silver
8213,1952,"HYYTIÄINEN, Toivo Armas",FIN,Bronze
8214,1952,"YOUNG, Cyrus C. Jr.",USA,Gold
8215,1952,"MILLER, William Preston",USA,Silver
8216,1952,"GORCHAKOVA, Elena",URS,Bronze
8217,1952,"INGROVA-ZATOPKOVA, Dana",TCH,Gold
8218,1952,"CHUDINA, Aleksandra",URS,Silver
8219,1952,"FÖLDESSY, Ödön",HUN,Bronze
8220,1952,"BIFFLE, Jerome Cousins",USA,Gold
8221,1952,"GOURDINE, Meredith Charles",USA,Silver
8222,1952,"CAWLEY, Shirley",GBR,Bronze
8223,1952,"WILLIAMS, Yvette Winefred",NZL,Gold
8224,1952,"CHUDINA, Aleksandra",URS,Silver
8225,1952,"JANSSON, Gustaf",SWE,Bronze
8226,1952,"ZATOPEK, Emil",TCH,Gold
8227,1952,"GORNO, Reinaldo",ARG,Silver
8228,1952,"LUNDBERG, Ragnar",SWE,Bronze
8229,1952,"RICHARDS, Robert",USA,Gold
8230,1952,"LAZ, Donald Robert",USA,Silver
8231,1952,"FUCHS, James Emanuel",USA,Bronze
8232,1952,"O, William Patrick Jr.",USA,Gold
8233,1952,"HOOPER, Darrow Clarence",USA,Silver
8234,1952,"TOCHENOVA, Klavdiya",URS,Bronze
8235,1952,"ZYBINA, Galina",URS,Gold
8236,1952,"WERNER-SCHULZE-ENTRUP, Marianne",GER,Silver
8237,1952,"DEVONISH, Arnaldo",VEN,Bronze
8238,1952,"FERREIRA DA SILVA, Adhemar",BRA,Gold
8239,1952,"SHCHERBAKOV, Leonid",URS,Silver
8240,1952,"ACOSTA Y LARA, Martin",URU,Bronze
8241,1952,"BALINO, Enrique",URU,Bronze
8242,1952,"CIESLINSKAS, Victorio",URU,Bronze
8243,1952,"COSTA, Hector J.",URU,Bronze
8244,1952,"DEMARCO, Nelson",URU,Bronze
8245,1952,"GARCIA OTERO, Hector",URU,Bronze
8246,1952,"LARRE BORGES, Tabare",URU,Bronze
8247,1952,"LOMBARDO, Adesio",URU,Bronze
8248,1952,"LOVERA, Roberto",URU,Bronze
8249,1952,"MATTO, Sergio A.",URU,Bronze
8250,1952,"PELAEZ, Wilfredo",URU,Bronze
8251,1952,"ROSSELLO, Carlos",URU,Bronze
8252,1952,"BONTEMPS, Ronald Yngve",USA,Gold
8253,1952,"FRIEBERGER, Marcus Ross",USA,Gold
8254,1952,"GLASGOW, Victor Wayne",USA,Gold
8255,1952,"HOAG, Charles Monroe",USA,Gold
8256,1952,"HOUGLAND, William Marion",USA,Gold
8257,1952,"KELLER, John Frederick",USA,Gold
8258,1952,"KELLEY, Melvin Dean",USA,Gold
8259,1952,"KENNEY, Robert Earl",USA,Gold
8260,1952,"KURLAND, Robert Albert",USA,Gold
8261,1952,"LIENHARD, William Barner",USA,Gold
8262,1952,"LOVELETTE, Clyde Edward",USA,Gold
8263,1952,"MCCABE, Frank Reilly",USA,Gold
8264,1952,"PIPPIN, Daniel Luther",USA,Gold
8265,1952,"WILLIAMS, Howard Earl",USA,Gold
8266,1952,"BUTAUTAS, Stiapas",URS,Silver
8267,1952,"DZHORDZHIKIYA, Nodar",URS,Silver
8268,1952,"KONYEV, Anatoli",URS,Silver
8269,1952,"KORKIYA, Otar Mikhailovich",URS,Silver
8270,1952,"KRUUS, Heino",URS,Silver
8271,1952,"KULLAM, Ilmar",URS,Silver
8272,1952,"LAGUNAVICHUS, Justinas",URS,Silver
8273,1952,"LYSOV, Iogan Fedorovich",URS,Silver
8274,1952,"MOISEEV, Aleksandr",URS,Silver
8275,1952,"OZEROV, Yuri",URS,Silver
8276,1952,"PETKYAVICHUS, Kasis",URS,Silver
8277,1952,"STONKUS, Stasis",URS,Silver
8278,1952,"VALDMANIS, Maigonis",URS,Silver
8279,1952,"VLASOV, Viktor",URS,Silver
8280,1952,"BULAKOV, Anatoli",URS,Bronze
8281,1952,"TOWEEL, William Michael",RSA,Bronze
8282,1952,"BROOKS, Nathan Eugene",USA,Gold
8283,1952,"BASEL, Edgar",GER,Silver
8284,1952,"KOSKI, Ilkka Rickhard",FIN,Bronze
8285,1952,"NIEMAN, Andries C.",RSA,Bronze
8286,1952,"SANDERS, Hayes Edward",USA,Gold
8287,1952,"JOHANSSON, Ingemar (Ingo)",SWE,Silver
8288,1952,"GARBUZOV, Gennadi",URS,Bronze
8289,1952,"KANG, Joon-Ho",KOR,Bronze
8290,1952,"HÄMÄLÄINEN, Pentti Olavi",FIN,Gold
8291,1952,"MCNALLY, John",IRL,Silver
8292,1952,"LEISCHING, Leonard John",RSA,Bronze
8293,1952,"VENTAJA, Joseph",FRA,Bronze
8294,1952,"ZACHARA, Jan",TCH,Gold
8295,1952,"CAPRARI, Sergio",ITA,Silver
8296,1952,"FIAT, Gheorghe",ROU,Bronze
8297,1952,"PAKKANEN, Erkki Osvald",FIN,Bronze
8298,1952,"BOLOGNESI, Aureliano",ITA,Gold
8299,1952,"ANTKIEWICZ, Aleksy",POL,Silver
8300,1952,"MALLENIUS, Erkki Aarno",FIN,Bronze
8301,1952,"VISINTIN, Bruno",ITA,Bronze
8302,1952,"ADKINS, Charles",USA,Gold
8303,1952,"MEDNOV, Viktor",URS,Silver
8304,1952,"HEIDEMANN, Günther",GER,Bronze
8305,1952,"JÖRGENSEN, Viktor",DEN,Bronze
8306,1952,"CHYCHLA, Zygmunt",POL,Gold
8307,1952,"SHCHERBAKOV, Sergei",URS,Silver
8308,1952,"HERRERA, Eladio Oscar",ARG,Bronze
8309,1952,"TISHIN, Boris",URS,Bronze
8310,1952,"PAPP, Laszlo",HUN,Gold
8311,1952,"VAN SCHALKWYK, Theunis Jacobus",RSA,Silver
8312,1952,"NIKOLOV, Boris Georgiev",BUL,Bronze
8313,1952,"SJÖLIN, Stig",SWE,Bronze
8314,1952,"PATTERSON, Floyd",USA,Gold
8315,1952,"TITA, Vasile",ROU,Silver
8316,1952,"PEROV, Anatoli",URS,Bronze
8317,1952,"SILJANDER, Harri Walfrid",FIN,Bronze
8318,1952,"LEE, Norvel Lafayette Ray",USA,Gold
8319,1952,"PACENZA, Antonio",ARG,Silver
