,Edition,Athlete,NOC,Medal
11684,1968,"YOUNG, Edwin Frank",USA,Bronze
11685,1968,"DIBIASI, Klaus",ITA,Gold
11686,1968,"GAXIOLA ROBLES, Alvaro",MEX,Silver
11687,1968,"PETERSON, Ann Stewart",USA,Bronze
11688,1968,"DUCHKOVA, Milena",TCH,Gold
11689,1968,"KUZNETSOVA-LOBANOVA, Natalya",URS,Silver
11690,1968,"HENRY, James Edward",USA,Bronze
11691,1968,"WRIGHTSON, Bernard Charles",USA,Gold
11692,1968,"DIBIASI, Klaus",ITA,Silver
11693,1968,"O'SULLIVAN, Keala",USA,Bronze
11694,1968,"GOSSICK, Susanne",USA,Gold
11695,1968,"FEDOSOVA-POGOZHEVA, Tamara",URS,Silver
11696,1968,"MILLS, Ronald P.",USA,Bronze
11697,1968,"MATTHES, Roland",GDR,Gold
11698,1968,"HICKCOX, Charles Buchanan",USA,Silver
11699,1968,"SWAGERTY, Jane Ellen",USA,Bronze
11700,1968,"HALL, Kaye Marie",USA,Gold
11701,1968,"TANNER, Elaine",CAN,Silver
11702,1968,"PANKIN, Nikolai",URS,Bronze
11703,1968,"MCKENZIE, Donald Ward Jr.",USA,Gold
11704,1968,"KOSINSKY, Vladimir",URS,Silver
11705,1968,"WICHMAN, Sharon Lynn",USA,Bronze
11706,1968,"BJEDOV, Djurdjica",YUG,Gold
11707,1968,"PROZUMENSCHIKOVA-STEPANOVA, Galina",URS,Silver
11708,1968,"WALES, Ross Elliott",USA,Bronze
11709,1968,"RUSSELL, Douglas Albert",USA,Gold
11710,1968,"SPITZ, Mark",USA,Silver
11711,1968,"SHIELDS, Susanne Marie",USA,Bronze
11712,1968,"MCCLEMENTS, Lynette",AUS,Gold
11713,1968,"DANIEL, Eleanor Suzanne",USA,Silver
11714,1968,"SPITZ, Mark",USA,Bronze
11715,1968,"WENDEN, Michael Vincent",AUS,Gold
11716,1968,"WALSH, Kenneth Marshall",USA,Silver
11717,1968,"GUSTAVSON, Linda Lee",USA,Bronze
11718,1968,"HENNE, Jane Margo",USA,Gold
11719,1968,"PEDERSEN, Susan Jane",USA,Silver
11720,1968,"BROUGH, Gregory",AUS,Bronze
11721,1968,"BURTON, Michael Jay",USA,Gold
11722,1968,"KINSELLA, John Pitann",USA,Silver
11723,1968,"HORSLEY, Jack S.",USA,Bronze
11724,1968,"MATTHES, Roland",GDR,Gold
11725,1968,"IVEY, Mitchell",USA,Silver
11726,1968,"HALL, Kaye Marie",USA,Bronze
11727,1968,"WATSON, Lillian Debra",USA,Gold
11728,1968,"TANNER, Elaine",CAN,Silver
11729,1968,"JOB, Brian Gregory",USA,Bronze
11730,1968,"MUNOZ, Felipe",MEX,Gold
11731,1968,"KOSINSKY, Vladimir",URS,Silver
11732,1968,"PROZUMENSCHIKOVA-STEPANOVA, Galina",URS,Bronze
11733,1968,"WICHMAN, Sharon Lynn",USA,Gold
11734,1968,"BJEDOV, Djurdjica",YUG,Silver
11735,1968,"FERRIS, John Edward",USA,Bronze
11736,1968,"ROBIE, Carl Joseph III",USA,Gold
11737,1968,"WOODROFFE, Martyn John",GBR,Silver
11738,1968,"DANIEL, Eleanor Suzanne",USA,Bronze
11739,1968,"KOK, Aagje Ada",NED,Gold
11740,1968,"LINDNER, Helga",GDR,Silver
11741,1968,"NELSON, John Mauer",USA,Bronze
11742,1968,"WENDEN, Michael Vincent",AUS,Gold
11743,1968,"SCHOLLANDER, Donald Arthur",USA,Silver
11744,1968,"BARKMAN, Jane Louise",USA,Bronze
11745,1968,"MEYER, Deborah",USA,Gold
11746,1968,"HENNE, Jane Margo",USA,Silver
11747,1968,"FERRIS, John Edward",USA,Bronze
11748,1968,"HICKCOX, Charles Buchanan",USA,Gold
11749,1968,"BUCKINGHAM, Gregory F.",USA,Silver
11750,1968,"HENNE, Jane Margo",USA,Bronze
11751,1968,"KOLB, Claudia Anne",USA,Gold
11752,1968,"PEDERSEN, Susan Jane",USA,Silver
11753,1968,"MOSCONI, Alain",FRA,Bronze
11754,1968,"BURTON, Michael Jay",USA,Gold
11755,1968,"HUTTON, Ralph",CAN,Silver
11756,1968,"MORAS, Karen Lynne",AUS,Bronze
11757,1968,"MEYER, Deborah",USA,Gold
11758,1968,"GUSTAVSON, Linda Lee",USA,Silver
11759,1968,"HOLTHAUS, Michael",FRG,Bronze
11760,1968,"HICKCOX, Charles Buchanan",USA,Gold
11761,1968,"HALL, Gary Wayne",USA,Silver
11762,1968,"STEINBACH, Sabine",GDR,Bronze
11763,1968,"KOLB, Claudia Anne",USA,Gold
11764,1968,"VIDALI, Lynn Marie",USA,Silver
11765,1968,"CUSACK, Robert",AUS,Bronze
11766,1968,"ROGERS, Gregory",AUS,Bronze
11767,1968,"WENDEN, Michael Vincent",AUS,Bronze
11768,1968,"WINDLE, Robert George",AUS,Bronze
11769,1968,"RERYCH, Stephen Karl",USA,Gold
11770,1968,"SPITZ, Mark",USA,Gold
11771,1968,"WALSH, Kenneth Marshall",USA,Gold
11772,1968,"ZORN, Zachary",USA,Gold
11773,1968,"BELITS-GEIMAN, Semyon",URS,Silver
11774,1968,"ILYICHEV, Leonid",URS,Silver
11775,1968,"KULIKOV, Georgi",URS,Silver
11776,1968,"MAZANOV, Viktor",URS,Silver
11777,1968,"CORSON-WHITNEY, Marilyn",CAN,Bronze
11778,1968,"COUGHLAN, Angela",CAN,Bronze
11779,1968,"LAY, Marion Beverly",CAN,Bronze
11780,1968,"TANNER, Elaine",CAN,Bronze
11781,1968,"BARKMAN, Jane Louise",USA,Gold
11782,1968,"GUSTAVSON, Linda Lee",USA,Gold
11783,1968,"HENNE, Jane Margo",USA,Gold
11784,1968,"PEDERSEN, Susan Jane",USA,Gold
11785,1968,"KRAUSE, Roswitha",GDR,Silver
11786,1968,"PERTHES, Gabriele",GDR,Silver
11787,1968,"SCHMUCK, Uta",GDR,Silver
11788,1968,"WETZKO, Gabriele",GDR,Silver
11789,1968,"GROMAK, Yuri",URS,Bronze
11790,1968,"ILYICHEV, Leonid",URS,Bronze
11791,1968,"KOSINSKY, Vladimir",URS,Bronze
11792,1968,"NEMSHILOV, Vladimir",URS,Bronze
11793,1968,"HICKCOX, Charles Buchanan",USA,Gold
11794,1968,"MCKENZIE, Donald Ward Jr.",USA,Gold
11795,1968,"RUSSELL, Douglas Albert",USA,Gold
11796,1968,"WALSH, Kenneth Marshall",USA,Gold
11797,1968,"GREGOR, Horst-Günther",GDR,Silver
11798,1968,"HENNINGER, Egon",GDR,Silver
11799,1968,"MATTHES, Roland",GDR,Silver
11800,1968,"WIEGAND, Frank",GDR,Silver
11801,1968,"FROMMATER, Uta",FRG,Bronze
11802,1968,"HUSTEDE-NAGEL, Heike",FRG,Bronze
11803,1968,"KRAUS, Angelika",FRG,Bronze
11804,1968,"REINECK, Heidemarie",FRG,Bronze
11805,1968,"BALL, Catherine",USA,Gold
11806,1968,"DANIEL, Eleanor Suzanne",USA,Gold
11807,1968,"HALL, Kaye Marie",USA,Gold
11808,1968,"PEDERSEN, Susan Jane",USA,Gold
11809,1968,"MCCLEMENTS, Lynette",AUS,Silver
11810,1968,"PLAYFAIR, Judith",AUS,Silver
11811,1968,"STEINBECK, Janet",AUS,Silver
11812,1968,"WATSON, Lynette",AUS,Silver
11813,1968,"BELITS-GEIMAN, Semyon",URS,Bronze
11814,1968,"BURE, Vladimir",URS,Bronze
11815,1968,"ILYICHEV, Leonid",URS,Bronze
11816,1968,"KULIKOV, Georgi",URS,Bronze
11817,1968,"NELSON, John Mauer",USA,Gold
11818,1968,"RERYCH, Stephen Karl",USA,Gold
11819,1968,"SCHOLLANDER, Donald Arthur",USA,Gold
11820,1968,"SPITZ, Mark",USA,Gold
11821,1968,"ROGERS, Gregory",AUS,Silver
11822,1968,"WENDEN, Michael Vincent",AUS,Silver
11823,1968,"WHITE, Graham Rose",AUS,Silver
11824,1968,"WINDLE, Robert George",AUS,Silver
11825,1968,"RAMIREZ, Maria Teresa",MEX,Bronze
11826,1968,"MEYER, Deborah",USA,Gold
11827,1968,"KRUSE, Pamela Jean",USA,Silver
11828,1968,"BODNAR, Andras",HUN,Bronze
11829,1968,"DÖMÖTÖR, Zoltan",HUN,Bronze
11830,1968,"FELKAI, Laszlo",HUN,Bronze
11831,1968,"KONRAD, Ferenc",HUN,Bronze
11832,1968,"KONRAD, Janos",HUN,Bronze
11833,1968,"MAYER, Mihaly",HUN,Bronze
11834,1968,"MOLNAR, Endre",HUN,Bronze
11835,1968,"POCSIK, Denes",HUN,Bronze
11836,1968,"SAROSI, Laszlo",HUN,Bronze
11837,1968,"STEINMETZ, Janos",HUN,Bronze
11838,1968,"SZIVOS, Istvan",HUN,Bronze
11839,1968,"BONACIC, Ozren",YUG,Gold
11840,1968,"DABOVIC, Dejan",YUG,Gold
11841,1968,"HEBEL, Zdravko",YUG,Gold
11842,1968,"JANKOVIC, Zoran",YUG,Gold
11843,1968,"LOPATINI, Ronald",YUG,Gold
11844,1968,"MAROVIC, Uros",YUG,Gold
11845,1968,"PERISIC, Djordje",YUG,Gold
11846,1968,"POLJAK, Miroslav",YUG,Gold
11847,1968,"SANDIC, Mirko",YUG,Gold
11848,1968,"STIPANIC, Karlo",YUG,Gold
11849,1968,"TRUMBIC, Ivo",YUG,Gold
11850,1968,"BARKALOV, Aleksei",URS,Silver
11851,1968,"BOVIN, Oleg",URS,Silver
11852,1968,"CHIKVANAYA, Givi",URS,Silver
11853,1968,"DOLGUSHIN, Aleksandr",URS,Silver
11854,1968,"GRIGOROVSKY, Yuri",URS,Silver
11855,1968,"GRISHIN, Boris",URS,Silver
11856,1968,"GULYAEV, Vadim",URS,Silver
11857,1968,"OSIPOV, Leonid",URS,Silver
11858,1968,"SEMENOV, Vladimir",URS,Silver
11859,1968,"SHIDLOVSKY, Aleksandr",URS,Silver
11860,1968,"SKOK, Vyacheslav",URS,Silver
11861,1968,"GAMMOUDI, Mohamed",TUN,Bronze
11862,1968,"TEMU, Nabiba Naftali",KEN,Gold
11863,1968,"WOLDE, Mamo",ETH,Silver
11864,1968,"GREENE, Charles Edward",USA,Bronze
11865,1968,"HINES, James Ray",USA,Gold
11866,1968,"MILLER, Lennox",JAM,Silver
11867,1968,"SZEWINSKA, Irena",POL,Bronze
11868,1968,"TYUS, Wyomia",USA,Gold
11869,1968,"FERRELL, Barbara Ann",USA,Silver
11870,1968,"OTTOZ, Eddy",ITA,Bronze
11871,1968,"DAVENPORT, Willie",USA,Gold
11872,1968,"HALL, Ervin",USA,Silver
11873,1968,"TÜMMLER, Bodo",FRG,Bronze
11874,1968,"KEINO, Kipchoge",KEN,Gold
11875,1968,"RYUN, James Ronald",USA,Silver
11876,1968,"CARLOS, John Wesley",USA,Bronze
11877,1968,"SMITH, Thomas C.",USA,Gold
11878,1968,"NORMAN, Peter George",AUS,Silver
11879,1968,"LAMY-FRANK, Jennifer",AUS,Bronze
11880,1968,"SZEWINSKA, Irena",POL,Gold
11881,1968,"BOYLE, Raelene Ann",AUS,Silver
11882,1968,"SMAGA, Nikolai",URS,Bronze
11883,1968,"GOLUBNICHY, Vladimir",URS,Gold
11884,1968,"PEDRAZA ZUNIGA, Jose",MEX,Silver
11885,1968,"YOUNG, George L.",USA,Bronze
11886,1968,"BIWOTT, Amos Kipwabok",KEN,Gold
11887,1968,"KOGO, Benjamin",KEN,Silver
11888,1968,"FREEMAN, Ronald John III",USA,Bronze
11889,1968,"EVANS, Lee Edward",USA,Gold
11890,1968,"JAMES, George Lawrence",USA,Silver
11891,1968,"PECHENKINA, Natalya",URS,Bronze
11892,1968,"BESSON, Colette",FRA,Gold
11893,1968,"BOARD, Lillian Barbara",GBR,Silver
11894,1968,"SHERWOOD, John",GBR,Bronze
11895,1968,"HEMERY, David Peter",GBR,Gold
11896,1968,"HENNIGE, Gerhard",FRG,Silver
11897,1968,"BAMBUCK, Roger",FRA,Bronze
11898,1968,"DELECOUR, Jocelyn",FRA,Bronze
11899,1968,"FENOUIL, Gerard",FRA,Bronze
11900,1968,"PIQUEMAL, Claude",FRA,Bronze
11901,1968,"GREENE, Charles Edward",USA,Gold
11902,1968,"HINES, James Ray",USA,Gold
11903,1968,"PENDER, Melvin Jr.",USA,Gold
11904,1968,"SMITH, Ronald Ray",USA,Gold
11905,1968,"FIGUEROLA CAMUE, Enrique",CUB,Silver
11906,1968,"MONTES CASANOVA, Pablo",CUB,Silver
11907,1968,"MORALES HACHAVARRIA, Juan",CUB,Silver
11908,1968,"RAMIREZ LIMONTA, Hermes Julian",CUB,Silver
11909,1968,"BUKHARINA, Galina",URS,Bronze
11910,1968,"IGNATYEVA-SAMOTESOVA, Lyudmila",URS,Bronze
11911,1968,"POPKOVA, Vera",URS,Bronze
11912,1968,"ZHARKOVA-MASLAKOVA, Liudmila",URS,Bronze
11913,1968,"BAILES, Margaret Johnson",USA,Gold
11914,1968,"FERRELL, Barbara Ann",USA,Gold
11915,1968,"NETTER, Mildrette",USA,Gold
11916,1968,"TYUS, Wyomia",USA,Gold
11917,1968,"COBIAN HECHEVARRIA, Miguelina",CUB,Silver
11918,1968,"ELEJALDE DIAZ, Marlene",CUB,Silver
11919,1968,"QUESADA DIAZ, Violetta",CUB,Silver
11920,1968,"ROMAY MARTINEZ, Fulgencia",CUB,Silver
11921,1968,"HENNIGE, Gerhard",FRG,Bronze
11922,1968,"JELLINGHAUS, Martin",FRG,Bronze
11923,1968,"KINDER, Manfred",FRG,Bronze
11924,1968,"MULLER, Helmar",FRG,Bronze
11925,1968,"EVANS, Lee Edward",USA,Gold
11926,1968,"FREEMAN, Ronald John III",USA,Gold
11927,1968,"JAMES, George Lawrence",USA,Gold
