,Edition,Athlete,NOC,Medal
12715,1972,"CAGNOTTO, Giorgio Franco",ITA,Bronze
12716,1972,"DIBIASI, Klaus",ITA,Gold
12717,1972,"RYDZE, Richard Anthony",USA,Silver
12718,1972,"JANICKE, Marina",GDR,Bronze
12719,1972,"KNAPE-LINDBERGH, Ulrika",SWE,Gold
12720,1972,"DUCHKOVA, Milena",TCH,Silver
12721,1972,"LINCOLN, Craig Howard",USA,Bronze
12722,1972,"VASIN, Vladimir",URS,Gold
12723,1972,"CAGNOTTO, Giorgio Franco",ITA,Silver
12724,1972,"JANICKE, Marina",GDR,Bronze
12725,1972,"KING, Maxine Joyce",USA,Gold
12726,1972,"KNAPE-LINDBERGH, Ulrika",SWE,Silver
12727,1972,"MURPHY, John Joseph",USA,Bronze
12728,1972,"MATTHES, Roland",GDR,Gold
12729,1972,"STAMM, Michael Eugene",USA,Silver
12730,1972,"ATWOOD, Susanne Jean",USA,Bronze
12731,1972,"BELOTE, Melissa Louise",USA,Gold
12732,1972,"GYARMATI, Andrea",HUN,Silver
12733,1972,"HENCKEN, John Frederick",USA,Bronze
12734,1972,"TAGUCHI, Nobutaka",JPN,Gold
12735,1972,"BRUCE, Thomas Edwin",USA,Silver
12736,1972,"WHITFIELD, Beverley Joy",AUS,Bronze
12737,1972,"CARR, Catherine L.",USA,Gold
12738,1972,"PROZUMENSCHIKOVA-STEPANOVA, Galina",URS,Silver
12739,1972,"HEIDENREICH, Jerry Alan",USA,Bronze
12740,1972,"SPITZ, Mark",USA,Gold
12741,1972,"ROBERTSON, Bruce Richard",CAN,Silver
12742,1972,"GYARMATI, Andrea",HUN,Bronze
12743,1972,"AOKI, Mayumi",JPN,Gold
12744,1972,"BEIER, Roswitha",GDR,Silver
12745,1972,"BURE, Vladimir",URS,Bronze
12746,1972,"SPITZ, Mark",USA,Gold
12747,1972,"HEIDENREICH, Jerry Alan",USA,Silver
12748,1972,"GOULD, Shane",AUS,Bronze
12749,1972,"NEILSON, Alexandra Lynn",USA,Gold
12750,1972,"BABASHOFF, Shirley Farber",USA,Silver
12751,1972,"NORTHWAY, Douglas Dale",USA,Bronze
12752,1972,"BURTON, Michael Jay",USA,Gold
12753,1972,"WINDEATT, Graham Claud",AUS,Silver
12754,1972,"IVEY, Mitchell",USA,Bronze
12755,1972,"MATTHES, Roland",GDR,Gold
12756,1972,"STAMM, Michael Eugene",USA,Silver
12757,1972,"GURR, Donna Marie",CAN,Bronze
12758,1972,"BELOTE, Melissa Louise",USA,Gold
12759,1972,"ATWOOD, Susanne Jean",USA,Silver
12760,1972,"TAGUCHI, Nobutaka",JPN,Bronze
12761,1972,"HENCKEN, John Frederick",USA,Gold
12762,1972,"WILKIE, David Andrew",GBR,Silver
12763,1972,"PROZUMENSCHIKOVA-STEPANOVA, Galina",URS,Bronze
12764,1972,"WHITFIELD, Beverley Joy",AUS,Gold
12765,1972,"SCHOENFIELD, Dana Lee",USA,Silver
12766,1972,"BACKHAUS, Robin James",USA,Bronze
12767,1972,"SPITZ, Mark",USA,Gold
12768,1972,"HALL, Gary Wayne",USA,Silver
12769,1972,"DANIEL, Eleanor Suzanne",USA,Bronze
12770,1972,"MOE-THORNTON, Karen Patricia",USA,Gold
12771,1972,"COLELLA, Lynn Ann",USA,Silver
12772,1972,"LAMPE, Werner",FRG,Bronze
12773,1972,"SPITZ, Mark",USA,Gold
12774,1972,"GENTER, Robert Steven",USA,Silver
12775,1972,"ROTHHAMMER, Keena Ruth",USA,Bronze
12776,1972,"GOULD, Shane",AUS,Gold
12777,1972,"BABASHOFF, Shirley Farber",USA,Silver
12778,1972,"FURNISS, Steven Charles",USA,Bronze
12779,1972,"LARSSON, Gunnar",SWE,Gold
12780,1972,"MCKEE, Alexander Timothy",USA,Silver
12781,1972,"VIDALI, Lynn Marie",USA,Bronze
12782,1972,"GOULD, Shane",AUS,Gold
12783,1972,"ENDER, Kornelia",GDR,Silver
12784,1972,"MCBREEN, Thomas Sean",USA,Bronze
12785,1972,"COOPER, Bradford Paul",AUS,Gold
12786,1972,"GENTER, Robert Steven",USA,Silver
12787,1972,"WEGNER, Gudrun",GDR,Bronze
12788,1972,"GOULD, Shane",AUS,Gold
12789,1972,"CALLIGARIS, Novella",ITA,Silver
12790,1972,"HARGITAY, Andras",HUN,Bronze
12791,1972,"LARSSON, Gunnar",SWE,Gold
12792,1972,"MCKEE, Alexander Timothy",USA,Silver
12793,1972,"CALLIGARIS, Novella",ITA,Bronze
12794,1972,"NEALL, Gail",AUS,Gold
12795,1972,"CLIFF, Leslie",CAN,Silver
12796,1972,"BRUCH, Peter",GDR,Bronze
12797,1972,"HARTUNG, Wilfried",GDR,Bronze
12798,1972,"MATTHES, Roland",GDR,Bronze
12799,1972,"UNGER, Lutz",GDR,Bronze
12800,1972,"EDGAR, David Holmes",USA,Gold
12801,1972,"HEIDENREICH, Jerry Alan",USA,Gold
12802,1972,"MURPHY, John Joseph",USA,Gold
12803,1972,"SPITZ, Mark",USA,Gold
12804,1972,"ABOIMOV, Viktor",URS,Silver
12805,1972,"BURE, Vladimir",URS,Silver
12806,1972,"GRIVENNIKOV, Igor",URS,Silver
12807,1972,"MAZANOV, Viktor",URS,Silver
12808,1972,"BECKMANN, Gudrun",FRG,Bronze
12809,1972,"REINECK, Heidemarie",FRG,Bronze
12810,1972,"STEINBACH, Angela",FRG,Bronze
12811,1972,"WEBER, Judith (Jutta)",FRG,Bronze
12812,1972,"BABASHOFF, Shirley Farber",USA,Gold
12813,1972,"BARKMAN, Jane Louise",USA,Gold
12814,1972,"KEMP, Jennifer Jo",USA,Gold
12815,1972,"NEILSON, Alexandra Lynn",USA,Gold
12816,1972,"EIFE, Andrea",GDR,Silver
12817,1972,"ENDER, Kornelia",GDR,Silver
12818,1972,"SEHMISCH, Elke",GDR,Silver
12819,1972,"WETZKO, Gabriele",GDR,Silver
12820,1972,"FISH, Erik",CAN,Bronze
12821,1972,"KASTING, Robert",CAN,Bronze
12822,1972,"MAHONY, William",CAN,Bronze
12823,1972,"ROBERTSON, Bruce Richard",CAN,Bronze
12824,1972,"BRUCE, Thomas Edwin",USA,Gold
12825,1972,"HEIDENREICH, Jerry Alan",USA,Gold
12826,1972,"SPITZ, Mark",USA,Gold
12827,1972,"STAMM, Michael Eugene",USA,Gold
12828,1972,"FLÖCKNER, Hartmut",GDR,Silver
12829,1972,"KATZUR, Klaus",GDR,Silver
12830,1972,"MATTHES, Roland",GDR,Silver
12831,1972,"UNGER, Lutz",GDR,Silver
12832,1972,"BECKMANN, Gudrun",FRG,Bronze
12833,1972,"EBERLE, Verena (Vreni)",FRG,Bronze
12834,1972,"PIELEN, Silke",FRG,Bronze
12835,1972,"REINECK, Heidemarie",FRG,Bronze
12836,1972,"BELOTE, Melissa Louise",USA,Gold
12837,1972,"CARR, Catherine L.",USA,Gold
12838,1972,"DEARDRUFF, Deena Diana",USA,Gold
