,Edition,Athlete,NOC,Medal
21302,1996,"XIAO, Hailiang",CHN,Bronze
21303,1996,"SAUTIN, Dmitry",RUS,Gold
21304,1996,"HEMPEL, Jan",GER,Silver
21305,1996,"CLARK, Mary Ellen",USA,Bronze
21306,1996,"FU, Mingxia",CHN,Gold
21307,1996,"WALTER, Annika",GER,Silver
21308,1996,"LENZI, Mark Edward",USA,Bronze
21309,1996,"XIONG, Ni",CHN,Gold
21310,1996,"YU, Zhuocheng",CHN,Silver
21311,1996,"PELLETIER, Annie",CAN,Bronze
21312,1996,"FU, Mingxia",CHN,Gold
21313,1996,"LASHKO, Irina",RUS,Silver
21314,1996,"BENT, Neisser",CUB,Bronze
21315,1996,"ROUSE, Jeff Norman",USA,Gold
21316,1996,"FALCON CABRERA, Rodolfo",CUB,Silver
21317,1996,"KRIEL, Marianne",RSA,Bronze
21318,1996,"BOTSFORD, Beth",USA,Gold
21319,1996,"HEDGEPETH, Whitney L.",USA,Silver
21320,1996,"WARNECKE, Mark",GER,Bronze
21321,1996,"DEBURGHGRAEVE, Frederik",BEL,Gold
21322,1996,"LINN, Jeremy",USA,Silver
21323,1996,"RILEY, Samantha Linette",AUS,Bronze
21324,1996,"HEYNS, Penelope",RSA,Gold
21325,1996,"BEARD, Amanda",USA,Silver
21326,1996,"KULIKOV, Vladislav",RUS,Bronze
21327,1996,"PANKRATOV, Denis",RUS,Gold
21328,1996,"MILLER, Scott",AUS,Silver
21329,1996,"MARTINO, Angel",USA,Bronze
21330,1996,"VAN DYKEN, Amy",USA,Gold
21331,1996,"LIU, Limin",CHN,Silver
21332,1996,"BORGES, Gustavo",BRA,Bronze
21333,1996,"POPOV, Alexander",RUS,Gold
21334,1996,"HALL, Gary Jr.",USA,Silver
21335,1996,"MARTINO, Angel",USA,Bronze
21336,1996,"LE, Jingyi",CHN,Gold
21337,1996,"VOELKER, Sandra",GER,Silver
21338,1996,"SMITH, Graeme",GBR,Bronze
21339,1996,"PERKINS, Kieren John",AUS,Gold
21340,1996,"KOWALSKI, Daniel",AUS,Silver
21341,1996,"MERISI, Emanuele",ITA,Bronze
21342,1996,"BRIDGEWATER, Brad",USA,Gold
21343,1996,"SCHWENK, Tripp",USA,Silver
21344,1996,"RUND, Cathleen",GER,Bronze
21345,1996,"EGERSZEGI, Krisztina",HUN,Gold
21346,1996,"HEDGEPETH, Whitney L.",USA,Silver
21347,1996,"KORNEYEV, Andrey",RUS,Bronze
21348,1996,"ROZSA, Norbert",HUN,Gold
21349,1996,"GUTTLER, Karoly",HUN,Silver
21350,1996,"KOVACS, Agnes",HUN,Bronze
21351,1996,"HEYNS, Penelope",RSA,Gold
21352,1996,"BEARD, Amanda",USA,Silver
21353,1996,"GOODMAN, Scott",AUS,Bronze
21354,1996,"PANKRATOV, Denis",RUS,Gold
21355,1996,"MALCHOW, Tom",USA,Silver
21356,1996,"SMITH, Michelle Marie",IRL,Bronze
21357,1996,"O'NEILL, Susan",AUS,Gold
21358,1996,"THOMAS, Petria",AUS,Silver
21359,1996,"KOWALSKI, Daniel",AUS,Bronze
21360,1996,"LOADER, Danyon Joseph",NZL,Gold
21361,1996,"BORGES, Gustavo",BRA,Silver
21362,1996,"HASE, Dagmar",GER,Bronze
21363,1996,"POLL AHRENS, Claudia",CRC,Gold
21364,1996,"VAN ALMSICK, Franziska",GER,Silver
21365,1996,"MYDEN, Curtis Allen",CAN,Bronze
21366,1996,"CZENE, Attila",HUN,Gold
21367,1996,"SIEVINEN, Jani",FIN,Silver
21368,1996,"LIN, Li",CHN,Bronze
21369,1996,"SMITH, Michelle Marie",IRL,Gold
21370,1996,"LIMPERT, Marianne Luise",CAN,Silver
21371,1996,"KOWALSKI, Daniel",AUS,Bronze
21372,1996,"LOADER, Danyon Joseph",NZL,Gold
21373,1996,"PALMER, Paul Rory",GBR,Silver
21374,1996,"VLIEGHUIS, Kirsten",NED,Bronze
21375,1996,"SMITH, Michelle Marie",IRL,Gold
21376,1996,"HASE, Dagmar",GER,Silver
21377,1996,"MYDEN, Curtis Allen",CAN,Bronze
21378,1996,"DOLAN, Tom",USA,Gold
21379,1996,"NAMESNIK, Eric",USA,Silver
21380,1996,"EGERSZEGI, Krisztina",HUN,Bronze
21381,1996,"SMITH, Michelle Marie",IRL,Gold
