,Edition,Athlete,NOC,Medal
10674,1964,"GOMPF, Thomas Eugen",USA,Bronze
10675,1964,"WEBSTER, Robert David",USA,Gold
10676,1964,"DIBIASI, Klaus",ITA,Silver
10677,1964,"ALEKSEEVA, Galina",URS,Bronze
10678,1964,"BUSH, Lesley Leigh",USA,Gold
10679,1964,"KRÄMER-ENGEL-GULBIN, Ingrid",EUA,Silver
10680,1964,"ANDREASEN, Lawrence Edwin",USA,Bronze
10681,1964,"SITZBERGER, Kenneth Robert",USA,Gold
10682,1964,"GORMAN, Francis Xavier",USA,Silver
10683,1964,"WILLARD, Mary Patricia",USA,Bronze
10684,1964,"KRÄMER-ENGEL-GULBIN, Ingrid",EUA,Gold
10685,1964,"COLLIER, Jeanne Ellen",USA,Silver
10686,1964,"DUENKEL, Virginia Ruth",USA,Bronze
10687,1964,"FERGUSON, Kathleen Jean",USA,Gold
10688,1964,"CARON, Christine (Kiki)",FRA,Silver
10689,1964,"ELLIS, Kathleen",USA,Bronze
10690,1964,"STOUDER, Sharon Marie",USA,Gold
10691,1964,"KOK, Aagje Ada",NED,Silver
10692,1964,"KLEIN, Hans-Joachim",EUA,Bronze
10693,1964,"SCHOLLANDER, Donald Arthur",USA,Gold
10694,1964,"MCGREGOR, Robert Bilsland",GBR,Silver
10695,1964,"ELLIS, Kathleen",USA,Bronze
10696,1964,"FRASER, Dawn",AUS,Gold
10697,1964,"STOUDER, Sharon Marie",USA,Silver
10698,1964,"WOOD, Allan",AUS,Bronze
10699,1964,"WINDLE, Robert George",AUS,Gold
10700,1964,"NELSON, John Mauer",USA,Silver
10701,1964,"BENNETT, Robert Earl",USA,Bronze
10702,1964,"GRAEF, Jedward Richard",USA,Gold
10703,1964,"DILLEY, Gary J.",USA,Silver
10704,1964,"JASTREMSKI, Chester Andrew",USA,Bronze
10705,1964,"O'BRIEN, Lawrence Ian",AUS,Gold
10706,1964,"PROKOPENKO, Georgi",URS,Silver
10707,1964,"BABANINA, Svetlana",URS,Bronze
10708,1964,"PROZUMENSCHIKOVA-STEPANOVA, Galina",URS,Gold
10709,1964,"KOLB, Claudia Anne",USA,Silver
10710,1964,"SCHMIDT, Frederick Weber",USA,Bronze
10711,1964,"BERRY, Kevin John",AUS,Gold
10712,1964,"ROBIE, Carl Joseph III",USA,Silver
10713,1964,"WOOD, Allan",AUS,Bronze
10714,1964,"SCHOLLANDER, Donald Arthur",USA,Gold
10715,1964,"WIEGAND, Frank",EUA,Silver
10716,1964,"STICKLES, Therese Lee",USA,Bronze
10717,1964,"DUENKEL, Virginia Ruth",USA,Gold
10718,1964,"RAMENOFSKY, Marilyn",USA,Silver
10719,1964,"HETZ, Gerhard",EUA,Bronze
10720,1964,"ROTH, Richard William",USA,Gold
10721,1964,"SAARI, Roy Allen",USA,Silver
10722,1964,"RANDALL, Martha Irene",USA,Bronze
10723,1964,"DE VARONA, Donna Elizabeth",USA,Gold
10724,1964,"FINNERAN, Sharon Evans",USA,Silver
10725,1964,"DICKSON, David Gavin",AUS,Bronze
10726,1964,"DOAK, Peter John",AUS,Bronze
10727,1964,"RYAN, John",AUS,Bronze
10728,1964,"WINDLE, Robert George",AUS,Bronze
