,Edition,Athlete,NOC,Medal
13900,1976,"ALEINIK, Vladimir",URS,Bronze
13901,1976,"DIBIASI, Klaus",ITA,Gold
13902,1976,"LOUGANIS, Gregory",USA,Silver
13903,1976,"WILSON, Deborah Keplar",USA,Bronze
13904,1976,"VAYTSEKHOVSKAYA, Elena",URS,Gold
13905,1976,"KNAPE-LINDBERGH, Ulrika",SWE,Silver
13906,1976,"KOSENKOV, Aleksandr",URS,Bronze
13907,1976,"BOGGS, Philip George",USA,Gold
13908,1976,"CAGNOTTO, Giorgio Franco",ITA,Silver
13909,1976,"POTTER-MCINGVALE, Cynthia",USA,Bronze
13910,1976,"CHANDLER, Jennifer Kay",USA,Gold
13911,1976,"KÖHLER, Christa",GDR,Silver
13912,1976,"MATTHES, Roland",GDR,Bronze
13913,1976,"NABER, John Phillips",USA,Gold
13914,1976,"ROCCA, Peter Drake",USA,Silver
13915,1976,"GARAPICK, Nancy Ellen",CAN,Bronze
13916,1976,"RICHTER, Ulrike",GDR,Gold
13917,1976,"TREIBER, Birgit",GDR,Silver
13918,1976,"YOZAITIS, Arvidas",URS,Bronze
13919,1976,"HENCKEN, John Frederick",USA,Gold
13920,1976,"WILKIE, David Andrew",GBR,Silver
13921,1976,"KOSHEVAYA, Marina",URS,Bronze
13922,1976,"ANKE, Hannelore",GDR,Gold
13923,1976,"RUSANOVA, Lyubov",URS,Silver
13924,1976,"HALL, Gary Wayne",USA,Bronze
13925,1976,"VOGEL, Matthew Haynes",USA,Gold
13926,1976,"BOTTOM, Joseph Stuart",USA,Silver
13927,1976,"BOGLIOLI, Wendy Lansbach",USA,Bronze
13928,1976,"ENDER, Kornelia",GDR,Gold
13929,1976,"POLLACK, Andrea",GDR,Silver
13930,1976,"NOCKE, Peter",FRG,Bronze
13931,1976,"MONTGOMERY, James Paul",USA,Gold
13932,1976,"BABASHOFF, Jack, Jr.",USA,Silver
13933,1976,"BRIGITHA, Enith",NED,Bronze
