,Edition,Athlete,NOC,Medal
15205,1980,"AMBARTSUMYAN, David",URS,Bronze
15206,1980,"HOFFMANN, Falk",GDR,Gold
15207,1980,"ALEINIK, Vladimir",URS,Silver
15208,1980,"TSOTADZE, Liana",URS,Bronze
15209,1980,"JÄSCHKE, Martina",GDR,Gold
15210,1980,"EMIRZIAN, Servard",URS,Silver
15211,1980,"CAGNOTTO, Giorgio Franco",ITA,Bronze
15212,1980,"PORTNOV, Aleksandr",URS,Gold
15213,1980,"GIRON, Carlos",MEX,Silver
15214,1980,"GUTHKE, Karin",GDR,Bronze
15215,1980,"KALININA, Irina",URS,Gold
15216,1980,"PROEBER, Martina",GDR,Silver
15217,1980,"DOLGOV, Vladimir",URS,Bronze
15218,1980,"BARON, Bengt",SWE,Gold
15219,1980,"KUZNETSOV, Viktor",URS,Silver
15220,1980,"RIEDEL, Petra",GDR,Bronze
15221,1980,"REINISCH, Rica",GDR,Gold
15222,1980,"KLEBER, Ina",GDR,Silver
15223,1980,"EVANS, Peter",AUS,Bronze
15224,1980,"GOODHEW, Dunkan",GBR,Gold
15225,1980,"MISKAROV, Arsen",URS,Silver
15226,1980,"NIELSSON, Susanne Schultz",DEN,Bronze
15227,1980,"GEWENIGER, Ute",GDR,Gold
15228,1980,"VASILKOVA, Elvira",URS,Silver
15229,1980,"LOPEZ-ZUBERO PURCELL, David",ESP,Bronze
15230,1980,"ARVIDSSON, Pär",SWE,Gold
15231,1980,"PYTTEL, Roger",GDR,Silver
15232,1980,"KNACKE, Christiane",GDR,Bronze
15233,1980,"METSCHUCK, Caren",GDR,Gold
15234,1980,"POLLACK, Andrea",GDR,Silver
15235,1980,"JOHANSSON, Per",SWE,Bronze
15236,1980,"WOITHE, Jörg",GDR,Gold
15237,1980,"HOLMERTZ, Per",SWE,Silver
15238,1980,"DIERS, Ines",GDR,Bronze
15239,1980,"KRAUSE, Barbara",GDR,Gold
15240,1980,"METSCHUCK, Caren",GDR,Silver
15241,1980,"METZKER, Maxwell",AUS,Bronze
15242,1980,"SALNIKOV, Vladimir",URS,Gold
15243,1980,"CHAEV, Aleksandr",URS,Silver
15244,1980,"KERRY, Mark",AUS,Bronze
15245,1980,"WLADAR, Sandor",HUN,Gold
15246,1980,"VERRASZTO, Zoltan",HUN,Silver
15247,1980,"TREIBER, Birgit",GDR,Bronze
15248,1980,"REINISCH, Rica",GDR,Gold
15249,1980,"POLIT, Cornelia",GDR,Silver
15250,1980,"MISKAROV, Arsen",URS,Bronze
15251,1980,"ZHULPA, Robertas",URS,Gold
15252,1980,"VERMES, Alban",HUN,Silver
15253,1980,"BOGDANOVA, Yulia",URS,Bronze
15254,1980,"KACHUSHITE, Lina",URS,Gold
15255,1980,"VARGANOVA, Svetlana",URS,Silver
15256,1980,"PYTTEL, Roger",GDR,Bronze
15257,1980,"FESENKO, Sergei",URS,Gold
15258,1980,"HUBBLE, Philip",GBR,Silver
15259,1980,"FORD, Michelle",AUS,Bronze
15260,1980,"GEISSLER, Ines",GDR,Gold
15261,1980,"SCHÖNROCK, Sybille",GDR,Silver
15262,1980,"BREWER, Graeme",AUS,Bronze
15263,1980,"KOPLYAKOV, Sergei",URS,Gold
15264,1980,"KRYLOV, Andrei",URS,Silver
15265,1980,"SCHMIDT, Carmela",GDR,Bronze
15266,1980,"KRAUSE, Barbara",GDR,Gold
15267,1980,"DIERS, Ines",GDR,Silver
15268,1980,"STUKOLKIN, Ivar",URS,Bronze
15269,1980,"SALNIKOV, Vladimir",URS,Gold
15270,1980,"KRYLOV, Andrei",URS,Silver
15271,1980,"SCHMIDT, Carmela",GDR,Bronze
15272,1980,"DIERS, Ines",GDR,Gold
15273,1980,"SCHNEIDER, Petra",GDR,Silver
15274,1980,"VERRASZTO, Zoltan",HUN,Bronze
15275,1980,"SIDORENKO, Aleksandr",URS,Gold
15276,1980,"FESENKO, Sergei",URS,Silver
15277,1980,"CZOPEK, Agnieszka",POL,Bronze
15278,1980,"SCHNEIDER, Petra",GDR,Gold
15279,1980,"DAVIES, Sharron Elizabeth",GBR,Silver
15280,1980,"DE JONG, Reggie",NED,Bronze
15281,1980,"MAAS, Annelies",NED,Bronze
15282,1980,"VAN BENTUM, Conny",NED,Bronze
15283,1980,"VAN VELSEN, Wilma",NED,Bronze
15284,1980,"DIERS, Ines",GDR,Gold
15285,1980,"HÜLSENBECK, Sarina",GDR,Gold
15286,1980,"KRAUSE, Barbara",GDR,Gold
15287,1980,"METSCHUCK, Caren",GDR,Gold
15288,1980,"ERIKSSON, Agneta",SWE,Silver
