,Edition,Athlete,NOC,Medal
4120,1924,"PINKSTON, Clarence",USA,Bronze
4121,1924,"WHITE, Albert",USA,Gold
4122,1924,"FALL, David",USA,Silver
4123,1924,"TÖPEL, Hjördis",SWE,Bronze
4124,1924,"SMITH, Caroline",USA,Gold
4125,1924,"BECKER-PINKSTON, Elizabeth",USA,Silver
4126,1924,"PINKSTON, Clarence",USA,Bronze
4127,1924,"WHITE, Albert",USA,Gold
4128,1924,"DESJARDINS, Ulise Joseph ""Peter""",USA,Silver
4129,1924,"FLETCHER, Caroline",USA,Bronze
4130,1924,"BECKER-PINKSTON, Elizabeth",USA,Gold
4131,1924,"RIGGIN, Aileen",USA,Silver
4132,1924,"CLARKE, Harold",GBR,Bronze
4133,1924,"EVE, Richmond",AUS,Gold
4134,1924,"JANSSON, John",SWE,Silver
4135,1924,"BARTHA, István",HUN,Bronze
4136,1924,"KEALOHA, Warren Paoa",USA,Gold
4137,1924,"WYATT, Paul",USA,Silver
4138,1924,"RIGGIN, Aileen",USA,Bronze
4139,1924,"BAUER, Sybil",USA,Gold
4140,1924,"HARDING, Phyllis",GBR,Silver
4141,1924,"KAHANAMOKU, Samuel",USA,Bronze
4142,1924,"WEISSMULLER, Johnny",USA,Gold
4143,1924,"KAHANAMOKU, Duke Paoa",USA,Silver
4144,1924,"EDERLE, Gertrude",USA,Bronze
4145,1924,"LACKIE, Ethel",USA,Gold
4146,1924,"WEHSELAU, Mariechen",USA,Silver
4147,1924,"DE BEAUREPAIRE, Frank",AUS,Bronze
4148,1924,"CHARLTON, Andrew",AUS,Gold
4149,1924,"BORG, Arne",SWE,Silver
4150,1924,"KIRSHBAUM, William",USA,Bronze
4151,1924,"SKELTON, Robert",USA,Gold
4152,1924,"DE COMBE, Joseph",BEL,Silver
4153,1924,"CARSON, Gladys",GBR,Bronze
4154,1924,"MORTON, Lucille",GBR,Gold
4155,1924,"GERAGHTY, Agnes",USA,Silver
4156,1924,"CHARLTON, Andrew",AUS,Bronze
4157,1924,"WEISSMULLER, Johnny",USA,Gold
4158,1924,"BORG, Arne",SWE,Silver
4159,1924,"EDERLE, Gertrude",USA,Bronze
4160,1924,"NORELIUS, Martha",USA,Gold
4161,1924,"WAINWRIGHT, Helen",USA,Silver
4162,1924,"BERG, Aina",SWE,Bronze
4163,1924,"EWERLUND, Gurli",SWE,Bronze
4164,1924,"GYLLING, Jane",SWE,Bronze
4165,1924,"PETTERSSON, Wivan",SWE,Bronze
4166,1924,"TÖPEL, Hjördis",SWE,Bronze
4167,1924,"DONNELLY, Euphrasia",USA,Gold
4168,1924,"EDERLE, Gertrude",USA,Gold
4169,1924,"LACKIE, Ethel",USA,Gold
4170,1924,"NORELIUS, Martha",USA,Gold
4171,1924,"WAINWRIGHT, Helen",USA,Gold
4172,1924,"WEHSELAU, Mariechen",USA,Gold
4173,1924,"BARKER, Florence",GBR,Silver
4174,1924,"GANT, P.",GBR,Silver
4175,1924,"HATCH, J. E.",GBR,Silver
4176,1924,"JEANS, Constance Mabel",GBR,Silver
4177,1924,"MAC KENZIE, Grace",GBR,Silver
4178,1924,"TANNER, Irene Vera",GBR,Silver
4179,1924,"BORG, Ake",SWE,Bronze
4180,1924,"BORG, Arne",SWE,Bronze
4181,1924,"HENNING, Tor",SWE,Bronze
4182,1924,"PERSSON, O. Gösta A.",SWE,Bronze
4183,1924,"TROLLE, Orvar",SWE,Bronze
4184,1924,"WERNER, Georg",SWE,Bronze
4185,1924,"BREYER, Ralph",USA,Gold
4186,1924,"GLANCY, Harrison Smith",USA,Gold
4187,1924,"HOWELL, Richard",USA,Gold
4188,1924,"O'CONNOR, James Wallace",USA,Gold
4189,1924,"SMITH, Lester",USA,Gold
4190,1924,"WEISSMULLER, Johnny",USA,Gold
4191,1924,"CHARLTON, Andrew",AUS,Silver
4192,1924,"CHRISTIE, Maurice F.",AUS,Silver
4193,1924,"DE BEAUREPAIRE, Frank",AUS,Silver
4194,1924,"HENRY, Ernest M.",AUS,Silver
4195,1924,"STEDMAN, Ivan",AUS,Silver
4196,1924,"AUSTIN, Arthur",USA,Bronze
4197,1924,"COLLETT, E.",USA,Bronze
4198,1924,"HANDY, J.",USA,Bronze
4199,1924,"HORN, Oliver",USA,Bronze
4200,1924,"LAUER, Frederick",USA,Bronze
4201,1924,"MITCHELL, George F.",USA,Bronze
4202,1924,"NORTON, John",USA,Bronze
4203,1924,"O'CONNOR, James Wallace",USA,Bronze
4204,1924,"SCHROTH, George E.",USA,Bronze
4205,1924,"VOLLMER, Herbert Eberhard",USA,Bronze
4206,1924,"WEISSMULLER, Johnny",USA,Bronze
4207,1924,"BERTRAND, R.",FRA,Gold
4208,1924,"DEBORGIES, Albert",FRA,Gold
4209,1924,"DELBERGHE, Noël",FRA,Gold
4210,1924,"DESMETTRE, Robert",FRA,Gold
4211,1924,"DUJARDIN, Paul",FRA,Gold
4212,1924,"FASANI, A.",FRA,Gold
4213,1924,"LASQUIN, Jean",FRA,Gold
4214,1924,"MAYAUD, Albert",FRA,Gold
4215,1924,"PADOU SR., Henri",FRA,Gold
4216,1924,"PEROL, J.",FRA,Gold
4217,1924,"RIGAL, Georges",FRA,Gold
4218,1924,"BLITZ, Gerard",BEL,Silver
4219,1924,"BLITZ, Maurice",BEL,Silver
4220,1924,"CLUDTS, Joseph",BEL,Silver
4221,1924,"DE COMBE, Joseph",BEL,Silver
4222,1924,"DEWIN, Pierre",BEL,Silver
4223,1924,"DURANT, Albert",BEL,Silver
4224,1924,"FLEURIX, Georges",BEL,Silver
4225,1924,"GAILLY, Paul",BEL,Silver
4226,1924,"PLETINCX, Joseph",BEL,Silver
4227,1924,"THIRY, Jules",BEL,Silver
4228,1924,"VERMETTEN, Jean-Pierre",BEL,Silver
4229,1924,"BERG, Eero",FIN,Bronze
4230,1924,"RITOLA, Ville",FIN,Gold
4231,1924,"WIDE, Edvin",SWE,Silver
4232,1924,"MACMASTER, Cecil",RSA,Bronze
4233,1924,"FRIGERIO, Ugo",ITA,Gold
4234,1924,"GOODWIN, Gordon",GBR,Silver
4235,1924,"PORRITT, Arthur",NZL,Bronze
4236,1924,"ABRAHAMS, Harold",GBR,Gold
4237,1924,"SCHOLZ, Jackson",USA,Silver
4238,1924,"PETTERSSON, Sten",SWE,Bronze
4239,1924,"KINSEY, Daniel",USA,Gold
4240,1924,"ATKINSON, Sidney",RSA,Silver
4241,1924,"STALLARD, Henry B.",GBR,Bronze
4242,1924,"NURMI, Paavo",FIN,Gold
4243,1924,"SCHÄRER, Wilhelm",SUI,Silver
4244,1924,"LIDDELL, Eric Henry",GBR,Bronze
4245,1924,"SCHOLZ, Jackson",USA,Gold
4246,1924,"PADDOCK, Charles",USA,Silver
4247,1924,"BONTEMPS, Paul",FRA,Bronze
4248,1924,"RITOLA, Ville",FIN,Gold
4249,1924,"KATZ, Elias",FIN,Silver
4250,1924,"CONNOLLY, James",USA,Bronze
4251,1924,"COX, William",USA,Bronze
4252,1924,"KIRBY, Edward",USA,Bronze
4253,1924,"LARRIVEE, Leo",USA,Bronze
4254,1924,"RAY, Joseph",USA,Bronze
4255,1924,"TIBBETTS, Willard",USA,Bronze
4256,1924,"KATZ, Elias",FIN,Gold
4257,1924,"LIEWENDHAL, Frej",FIN,Gold
4258,1924,"NURMI, Paavo",FIN,Gold
4259,1924,"RITOLA, Ville",FIN,Gold
4260,1924,"SEPPÄLÄ, Eino",FIN,Gold
4261,1924,"TALJA, S.",FIN,Gold
4262,1924,"CLARK, Arthur",GBR,Silver
4263,1924,"MACDONALD, Bernard",GBR,Silver
4264,1924,"PORTER, Walter Harold",GBR,Silver
4265,1924,"SEAGROVE, William Raymond",GBR,Silver
4266,1924,"WEBBER, George J.",GBR,Silver
4267,1924,"BUTLER, Guy Montagu",GBR,Bronze
4268,1924,"LIDDELL, Eric Henry",GBR,Gold
4269,1924,"FITCH, Horatio",USA,Silver
4270,1924,"RILEY, Ivan",USA,Bronze
4271,1924,"TAYLOR, Frederick Morgan",USA,Gold
4272,1924,"VILEN, Erik Vilhelm",FIN,Silver
4273,1924,"BOOT, Jacobus",NED,Bronze
4274,1924,"BROOS, Henricus Adrianus",NED,Bronze
4275,1924,"DE VRIES, Jan Cornelis",NED,Bronze
4276,1924,"VAN DEN BERGE, Marinus",NED,Bronze
4277,1924,"CLARKE, Louis Alfred",USA,Gold
4278,1924,"HUSSEY, Francis",USA,Gold
4279,1924,"LECONEY, Jeremiah Alfred",USA,Gold
4280,1924,"MURCHISON, Loren",USA,Gold
4281,1924,"ABRAHAMS, Harold",GBR,Silver
4282,1924,"NICHOL, William Peter",GBR,Silver
4283,1924,"RANGELEY, Walter",GBR,Silver
4284,1924,"ROYLE, Lancelot Carrington",GBR,Silver
4285,1924,"BUTLER, Guy Montagu",GBR,Bronze
4286,1924,"RENWICK, George Russell",GBR,Bronze
4287,1924,"RIPLEY, Richard N.",GBR,Bronze
4288,1924,"TOMS, Edward James",GBR,Bronze
4289,1924,"COCHRANE, Commodore",USA,Gold
4290,1924,"HELFFRICH, Alan",USA,Gold
4291,1924,"MACDONALD, J. Oliver",USA,Gold
4292,1924,"STEPHENSON, William",USA,Gold
4293,1924,"BYLEHN, Erik",SWE,Silver
4294,1924,"ENGDAHL, Nils",SWE,Silver
4295,1924,"SVENSSON, Arthur",SWE,Silver
4296,1924,"WEIJNARTH, Gustaf",SWE,Silver
4297,1924,"WIDE, Edvin",SWE,Bronze
4298,1924,"NURMI, Paavo",FIN,Gold
4299,1924,"RITOLA, Ville",FIN,Silver
4300,1924,"ENCK, Schuyler",USA,Bronze
4301,1924,"LOWE, Douglas Gordon",GBR,Gold
4302,1924,"MARTIN, Paul",SUI,Silver
4303,1924,"JOHNSON, Richard Earl",USA,Bronze
4304,1924,"NURMI, Paavo",FIN,Gold
4305,1924,"RITOLA, Ville",FIN,Silver
4306,1924,"DOLQUES, L. Lucien",FRA,Bronze
4307,1924,"HEUET, Gaston",FRA,Bronze
4308,1924,"LAUSEIG, André",FRA,Bronze
4309,1924,"LAUVAUX, Henri",FRA,Bronze
4310,1924,"MARCHAL, Robert",FRA,Bronze
4311,1924,"NORLAND, Maurice",FRA,Bronze
4312,1924,"BERG, Eero",FIN,Gold
4313,1924,"LIIMATAINEN, Heikki",FIN,Gold
4314,1924,"NURMI, Paavo",FIN,Gold
4315,1924,"RASTAS, Eino",FIN,Gold
4316,1924,"RITOLA, Ville",FIN,Gold
4317,1924,"SIPILÄ, Väinö Jeremias",FIN,Gold
4318,1924,"BOOTH, Verne Hobson",USA,Silver
4319,1924,"FAGER, August",USA,Silver
4320,1924,"GRAY, John",USA,Silver
4321,1924,"HENIGAN, James",USA,Silver
4322,1924,"JOHNSON, Richard Earl",USA,Silver
4323,1924,"STUDENROTH, Arthur",USA,Silver
4324,1924,"KLUMBERG-KOLMPERE, Alexander",EST,Bronze
4325,1924,"OSBORN, Harold Marion",USA,Gold
4326,1924,"NORTON, Emerson",USA,Silver
4327,1924,"LIEB, Thomas John",USA,Bronze
4328,1924,"HOUSER, Lemuel Clarence",USA,Gold
4329,1924,"NIITTYMAA, Vilho Aleksander",FIN,Silver
4330,1924,"NOKES, Malcolm Cuthbert",GBR,Bronze
4331,1924,"TOOTELL, Frederick Delmont",USA,Gold
4332,1924,"MCGRATH, Matthew J.",USA,Silver
4333,1924,"LEWDEN, Pierre",FRA,Bronze
4334,1924,"OSBORN, Harold Marion",USA,Gold
4335,1924,"BROWN, Leroy Taylor",USA,Silver
4336,1924,"OBERST, Eugene",USA,Bronze
4337,1924,"MYYRÄ, Jonni",FIN,Gold
4338,1924,"LINDSTRÖM, Gunnar",SWE,Silver
4339,1924,"HANSEN, Sverre",NOR,Bronze
4340,1924,"HUBBARD, William De Hart",USA,Gold
4341,1924,"GOURDIN, Edward Orval",USA,Silver
4342,1924,"DE MAR, Clarence Harrison",USA,Bronze
4343,1924,"STENROOS, Albin Oskar",FIN,Gold
4344,1924,"BERTINI, Romeo",ITA,Silver
