,Edition,Athlete,NOC,Medal
19597,1992,"XIONG, Ni",CHN,Bronze
19598,1992,"SUN, Shuwei",CHN,Gold
19599,1992,"DONIE, Scott R.",USA,Silver
19600,1992,"CLARK, Mary Ellen",USA,Bronze
19601,1992,"FU, Mingxia",CHN,Gold
19602,1992,"MIROCHINA, Elena",EUN,Silver
19603,1992,"SAUTIN, Dmitry",EUN,Bronze
19604,1992,"LENZI, Mark Edward",USA,Gold
19605,1992,"TAN, Liang-De",CHN,Silver
19606,1992,"BALDUS, Brita Pia",GER,Bronze
19607,1992,"GAO, Min",CHN,Gold
19608,1992,"LACHKO, Irina",EUN,Silver
19609,1992,"BERKOFF, David Charles",USA,Bronze
19610,1992,"TEWKSBURY, Mark",CAN,Gold
19611,1992,"ROUSE, Jeff Norman",USA,Silver
19612,1992,"LOVELESS, Lea",USA,Bronze
19613,1992,"EGERSZEGI, Krisztina",HUN,Gold
19614,1992,"SZABO, Tunde",HUN,Silver
19615,1992,"ROGERS, Philip John",AUS,Bronze
19616,1992,"DIEBEL, Nelson",USA,Gold
19617,1992,"ROZSA, Norbert",HUN,Silver
19618,1992,"RILEY, Samantha Linette",AUS,Bronze
19619,1992,"RUDKOVSKAYA, Elena",EUN,Gold
19620,1992,"NALL, Anita",USA,Silver
19621,1992,"NESTY, Anthony Conrad",SUR,Bronze
19622,1992,"MORALES, Pablo",USA,Gold
19623,1992,"SZUKALA, Rafal",POL,Silver
19624,1992,"PLEWINSKI, Catherine",FRA,Bronze
19625,1992,"QIAN, Hong",CHN,Gold
19626,1992,"AHMANN-LEIGHTON, Christine",USA,Silver
19627,1992,"CARON, Stephan",FRA,Bronze
19628,1992,"POPOV, Alexander",EUN,Gold
19629,1992,"BORGES, Gustavo",BRA,Silver
19630,1992,"VAN ALMSICK, Franziska",GER,Bronze
19631,1992,"ZHUANG, Yong",CHN,Gold
19632,1992,"THOMPSON, Jenny",USA,Silver
19633,1992,"HOFFMANN, Jörg",GER,Bronze
19634,1992,"PERKINS, Kieren John",AUS,Gold
19635,1992,"HOUSMAN, Glen Clifford",AUS,Silver
19636,1992,"BATTISTELLI, Stefano",ITA,Bronze
19637,1992,"LOPEZ-ZUBERO, Martin",ESP,Gold
19638,1992,"SELKOV, Vladimir",EUN,Silver
19639,1992,"STEVENSON, Nicole Dawn",AUS,Bronze
19640,1992,"EGERSZEGI, Krisztina",HUN,Gold
19641,1992,"HASE, Dagmar",GER,Silver
19642,1992,"GILLINGHAM, Nick",GBR,Bronze
19643,1992,"BARROWMAN, Mike",USA,Gold
19644,1992,"ROZSA, Norbert",HUN,Silver
19645,1992,"NALL, Anita",USA,Bronze
19646,1992,"IWASAKI, Kyoko",JPN,Gold
19647,1992,"LIN, Li",CHN,Silver
19648,1992,"ESPOSITO, Franck",FRA,Bronze
19649,1992,"STEWART, Melvin",USA,Gold
19650,1992,"LOADER, Danyon Joseph",NZL,Silver
19651,1992,"O'NEILL, Susan",AUS,Bronze
19652,1992,"SANDERS, Summer",USA,Gold
19653,1992,"WANG, Xiaohong",CHN,Silver
19654,1992,"KASVIO, Antti Alexander",FIN,Bronze
19655,1992,"SADOVYI, Evgueni",EUN,Gold
19656,1992,"HOLMERTZ, Anders",SWE,Silver
19657,1992,"KIELGASS, Kerstin",GER,Bronze
19658,1992,"HAISLETT, Nicole Lee",USA,Gold
19659,1992,"VAN ALMSICK, Franziska",GER,Silver
19660,1992,"CZENE, Attila",HUN,Bronze
19661,1992,"DARNYI, Tamas",HUN,Gold
19662,1992,"BURGESS, Gregory",USA,Silver
19663,1992,"HUNGER, Daniela",GER,Bronze
19664,1992,"LIN, Li",CHN,Gold
19665,1992,"SANDERS, Summer",USA,Silver
19666,1992,"HOLMERTZ, Anders",SWE,Bronze
19667,1992,"SADOVYI, Evgueni",EUN,Gold
19668,1992,"PERKINS, Kieren John",AUS,Silver
19669,1992,"LEWIS, Hayley Jane",AUS,Bronze
19670,1992,"HASE, Dagmar",GER,Gold
19671,1992,"EVANS, Janet",USA,Silver
19672,1992,"SACCHI, Luca",ITA,Bronze
19673,1992,"DARNYI, Tamas",HUN,Gold
19674,1992,"NAMESNIK, Eric",USA,Silver
19675,1992,"SANDERS, Summer",USA,Bronze
19676,1992,"EGERSZEGI, Krisztina",HUN,Gold
19677,1992,"LIN, Li",CHN,Silver
19678,1992,"PINGER, Mark",GER,Bronze
19679,1992,"RICHTER, Dirk",GER,Bronze
19680,1992,"SZIGAT, Andreas",GER,Bronze
19681,1992,"TRÖGER, Christian",GER,Bronze
19682,1992,"ZESNER, Steffen",GER,Bronze
19683,1992,"ZIKARSKY, Bengt",GER,Bronze
19684,1992,"BIONDI, Matthew",USA,Gold
19685,1992,"HUDEPOHL, Joseph",USA,Gold
19686,1992,"JAGER, Thomas Michael",USA,Gold
19687,1992,"JORDAN, Shaun",USA,Gold
19688,1992,"OLSEN, Jon",USA,Gold
19689,1992,"THOMAS, Joel",USA,Gold
19690,1992,"BASHKATOV, Juri",EUN,Silver
19691,1992,"KHNYKIN, Pavlo",EUN,Silver
19692,1992,"POPOV, Alexander",EUN,Silver
19693,1992,"PRIGODA, Guennadi",EUN,Silver
19694,1992,"PYSHNENKO, Vladimir",EUN,Silver
19695,1992,"TAIANOVITCH, Veniamin",EUN,Silver
19696,1992,"HADDING, Annette",GER,Bronze
19697,1992,"HUNGER, Daniela",GER,Bronze
19698,1992,"KIELGASS, Kerstin",GER,Bronze
19699,1992,"OSYGUS, Simone",GER,Bronze
19700,1992,"STELLMACH, Manuela",GER,Bronze
19701,1992,"VAN ALMSICK, Franziska",GER,Bronze
19702,1992,"AHMANN-LEIGHTON, Christine",USA,Gold
19703,1992,"HAISLETT, Nicole Lee",USA,Gold
19704,1992,"MARTINO, Angel",USA,Gold
19705,1992,"TAPPIN, Ashley T",USA,Gold
19706,1992,"THOMPSON, Jenny",USA,Gold
19707,1992,"TORRES, Dara",USA,Gold
19708,1992,"LE, Jingyi",CHN,Silver
19709,1992,"LU, Bin",CHN,Silver
19710,1992,"YANG, Wenyi",CHN,Silver
19711,1992,"ZHAO, Kun",CHN,Silver
19712,1992,"ZHUANG, Yong",CHN,Silver
19713,1992,"CLARKE, Stephen",CAN,Bronze
19714,1992,"CLEVELAND, Jonathan Thomas",CAN,Bronze
19715,1992,"GERY, Marcel",CAN,Bronze
19716,1992,"PONTING, Thomas",CAN,Bronze
19717,1992,"TEWKSBURY, Mark",CAN,Bronze
19718,1992,"BERKOFF, David Charles",USA,Gold
19719,1992,"BIONDI, Matthew",USA,Gold
19720,1992,"DERSCH, Hans",USA,Gold
19721,1992,"DIEBEL, Nelson",USA,Gold
19722,1992,"MORALES, Pablo",USA,Gold
19723,1992,"OLSEN, Jon",USA,Gold
19724,1992,"ROUSE, Jeff Norman",USA,Gold
19725,1992,"STEWART, Melvin",USA,Gold
19726,1992,"IVANOV, Vassili",EUN,Silver
19727,1992,"KHNYKIN, Pavlo",EUN,Silver
19728,1992,"KULIKOV, Vladislav",EUN,Silver
19729,1992,"POPOV, Alexander",EUN,Silver
19730,1992,"PYSHNENKO, Vladimir",EUN,Silver
19731,1992,"SELKOV, Vladimir",EUN,Silver
19732,1992,"VOLKOV, Dmitri",EUN,Silver
19733,1992,"CHOUBINA, Elena",EUN,Bronze
19734,1992,"KIRITCHENKO, Olga",EUN,Bronze
19735,1992,"MESHCHERYAKOVA, Natalia",EUN,Bronze
19736,1992,"RUDKOVSKAYA, Elena",EUN,Bronze
19737,1992,"ZHIVANEVSKAYA, Nina Alexandrovna",EUN,Bronze
19738,1992,"AHMANN-LEIGHTON, Christine",USA,Gold
19739,1992,"HAISLETT, Nicole Lee",USA,Gold
19740,1992,"KLEINE, Megan A.",USA,Gold
19741,1992,"LOVELESS, Lea",USA,Gold
19742,1992,"NALL, Anita",USA,Gold
19743,1992,"SANDERS, Summer",USA,Gold
19744,1992,"THOMPSON, Jenny",USA,Gold
19745,1992,"WAGSTAFF, Elizabeth",USA,Gold
19746,1992,"BRENDEL, Daniela",GER,Silver
19747,1992,"DÖRRIS, Jana",GER,Silver
19748,1992,"HASE, Dagmar",GER,Silver
19749,1992,"HUNGER, Daniela",GER,Silver
19750,1992,"OSYGUS, Simone",GER,Silver
19751,1992,"USTROWSKI, Bettina",GER,Silver
19752,1992,"VAN ALMSICK, Franziska",GER,Silver
19753,1992,"GJERTSEN, Douglas S.",USA,Bronze
19754,1992,"HUDEPOHL, Joseph",USA,Bronze
19755,1992,"JAFFE, Scott",USA,Bronze
19756,1992,"JORGENSEN, Daniel Plong",USA,Bronze
19757,1992,"OLSEN, Jon",USA,Bronze
19758,1992,"STEWART, Melvin",USA,Bronze
19759,1992,"KOUDRIAVTSEV, Alexei",EUN,Gold
19760,1992,"LEPIKOV, Dmitri",EUN,Gold
19761,1992,"MOUKHINE, Jouri",EUN,Gold
19762,1992,"PYSHNENKO, Vladimir",EUN,Gold
19763,1992,"SADOVYI, Evgueni",EUN,Gold
19764,1992,"TAIANOVITCH, Veniamin",EUN,Gold
19765,1992,"FROLANDER, Lars",SWE,Silver
19766,1992,"HOLMERTZ, Anders",SWE,Silver
19767,1992,"WALLIN, Christer",SWE,Silver
19768,1992,"WERNER, Tommy",SWE,Silver
19769,1992,"JAGER, Thomas Michael",USA,Bronze
19770,1992,"POPOV, Alexander",EUN,Gold
19771,1992,"BIONDI, Matthew",USA,Silver
19772,1992,"MARTINO, Angel",USA,Bronze
19773,1992,"YANG, Wenyi",CHN,Gold
19774,1992,"ZHUANG, Yong",CHN,Silver
19775,1992,"HENKE, Jana",GER,Bronze
19776,1992,"EVANS, Janet",USA,Gold
19777,1992,"LEWIS, Hayley Jane",AUS,Silver
19778,1992,"OKUNO, Fumiko",JPN,Bronze
19779,1992,"TAKAYAMA, Aki",JPN,Bronze
19780,1992,"JOSEPHSON, Karen",USA,Gold
19781,1992,"JOSEPHSON, Sarah",USA,Gold
19782,1992,"VILAGOS, Penny",CAN,Silver
19783,1992,"VILAGOS, Vicky",CAN,Silver
