,Edition,Athlete,NOC,Medal
18051,1988,"MENA CAMPOS, Jesus",MEX,Bronze
18052,1988,"LOUGANIS, Gregory",USA,Gold
18053,1988,"XIONG, Ni",CHN,Silver
18054,1988,"WYLAND-WILLIAMS, Wendy Lian",USA,Bronze
18055,1988,"XU, Yan-Mei",CHN,Gold
18056,1988,"MITCHELL, Michele",USA,Silver
18057,1988,"LI, De-Liang",CHN,Bronze
18058,1988,"LOUGANIS, Gregory",USA,Gold
18059,1988,"TAN, Liang-De",CHN,Silver
18060,1988,"MCCORMICK, Kelly Anne",USA,Bronze
18061,1988,"GAO, Min",CHN,Gold
18062,1988,"LI, Qing",CHN,Silver
18063,1988,"POLYANSKI, Igor",URS,Bronze
18064,1988,"SUZUKI, Daichi",JPN,Gold
18065,1988,"BERKOFF, David Charles",USA,Silver
18066,1988,"SIRCH, Cornelia",GDR,Bronze
18067,1988,"OTTO, Kristin",GDR,Gold
18068,1988,"EGERSZEGI, Krisztina",HUN,Silver
18069,1988,"VOLKOV, Dmitri",URS,Bronze
18070,1988,"MOORHOUSE, Adrian David",GBR,Gold
18071,1988,"GUTTLER, Karoly",HUN,Silver
18072,1988,"HÖRNER, Silke",GDR,Bronze
18073,1988,"BOGOMILOVA-DANGALAKOVA, Tania",BUL,Gold
18074,1988,"FRENKEVA, Antoaneta",BUL,Silver
18075,1988,"JAMESON, Andrew Dasvid",GBR,Bronze
18076,1988,"NESTY, Anthony Conrad",SUR,Gold
18077,1988,"BIONDI, Matthew",USA,Silver
18078,1988,"QIAN, Hong",CHN,Bronze
18079,1988,"OTTO, Kristin",GDR,Gold
18080,1988,"WEIGANG, Birte",GDR,Silver
18081,1988,"CARON, Stephan",FRA,Bronze
18082,1988,"BIONDI, Matthew",USA,Gold
18083,1988,"JACOBS, Christopher Charles",USA,Silver
18084,1988,"PLEWINSKI, Catherine",FRA,Bronze
18085,1988,"OTTO, Kristin",GDR,Gold
18086,1988,"ZHUANG, Yong",CHN,Silver
18087,1988,"DASSLER, Uwe",GDR,Bronze
18088,1988,"SALNIKOV, Vladimir",URS,Gold
18089,1988,"PFEIFFER, Stefan",FRG,Silver
18090,1988,"KINGSMAN, Paul",NZL,Bronze
18091,1988,"POLYANSKI, Igor",URS,Gold
18092,1988,"BALTRUSCH, Frank",GDR,Silver
18093,1988,"SIRCH, Cornelia",GDR,Bronze
18094,1988,"EGERSZEGI, Krisztina",HUN,Gold
18095,1988,"ZIMMERMANN, Kathrin",GDR,Silver
18096,1988,"LOPEZ MIRO, Sergio",ESP,Bronze
18097,1988,"SZABO, Jozsef",HUN,Gold
18098,1988,"GILLINGHAM, Nick",GBR,Silver
18099,1988,"FRENKEVA, Antoaneta",BUL,Bronze
18100,1988,"HÖRNER, Silke",GDR,Gold
18101,1988,"HUANG, Xiao-Min",CHN,Silver
18102,1988,"MOSSE, Anthony",NZL,Bronze
18103,1988,"GROSS, Michael",FRG,Gold
18104,1988,"NIELSEN, Benny Leo",DEN,Silver
18105,1988,"MEAGHER, Mary T.",USA,Bronze
18106,1988,"NORD, Kathleen",GDR,Gold
18107,1988,"WEIGANG, Birte",GDR,Silver
18108,1988,"BIONDI, Matthew",USA,Bronze
18109,1988,"ARMSTRONG, Duncan John",AUS,Gold
18110,1988,"HOLMERTZ, Anders",SWE,Silver
18111,1988,"STELLMACH, Manuela",GDR,Bronze
18112,1988,"FRIEDRICH, Heike",GDR,Gold
18113,1988,"POLL AHRENS, Silvia",CRC,Silver
18114,1988,"YAROSHCHUK, Vadim",URS,Bronze
18115,1988,"DARNYI, Tamas",HUN,Gold
18116,1988,"KUHL, Patrick",GDR,Silver
18117,1988,"LUNG, Noemi Ildiko",ROU,Bronze
18118,1988,"HUNGER, Daniela",GDR,Gold
18119,1988,"DENDEBEROVA, Elena",URS,Silver
18120,1988,"WOJDAT, Artur",POL,Bronze
18121,1988,"DASSLER, Uwe",GDR,Gold
18122,1988,"ARMSTRONG, Duncan John",AUS,Silver
18123,1988,"MÖHRING, Anke",GDR,Bronze
18124,1988,"EVANS, Janet",USA,Gold
18125,1988,"FRIEDRICH, Heike",GDR,Silver
18126,1988,"BATTISTELLI, Stefano",ITA,Bronze
18127,1988,"DARNYI, Tamas",HUN,Gold
18128,1988,"WHARTON, David Lee",USA,Silver
18129,1988,"HUNGER, Daniela",GDR,Bronze
18130,1988,"EVANS, Janet",USA,Gold
18131,1988,"LUNG, Noemi Ildiko",ROU,Silver
18132,1988,"FLEMMING, Thomas",GDR,Bronze
18133,1988,"HINNEBURG, Lars",GDR,Bronze
18134,1988,"RICHTER, Dirk",GDR,Bronze
18135,1988,"ZESNER, Steffen",GDR,Bronze
18136,1988,"BIONDI, Matthew",USA,Gold
18137,1988,"DALBEY, Troy",USA,Gold
18138,1988,"JACOBS, Christopher Charles",USA,Gold
18139,1988,"JAGER, Thomas Michael",USA,Gold
18140,1988,"BASHKATOV, Juri",URS,Silver
18141,1988,"EVSEEV, Nikolai",URS,Silver
18142,1988,"PRIGODA, Guennadi",URS,Silver
18143,1988,"TKASHENKO, Vladimir",URS,Silver
18144,1988,"KREMER, Mitzi Patricia",USA,Bronze
18145,1988,"TORRES, Dara",USA,Bronze
18146,1988,"WALKER, Laura Anne",USA,Bronze
18147,1988,"WAYTE, Mary Alice",USA,Bronze
18148,1988,"HUNGER, Daniela",GDR,Gold
18149,1988,"MEISSNER, Katrin",GDR,Gold
18150,1988,"OTTO, Kristin",GDR,Gold
18151,1988,"STELLMACH, Manuela",GDR,Gold
18152,1988,"BRIENESSE, Karin",NED,Silver
18153,1988,"MUIS, Marianne",NED,Silver
18154,1988,"MUIS, Mildred",NED,Silver
18155,1988,"VAN BENTUM, Conny",NED,Silver
18156,1988,"POLYANSKI, Igor",URS,Bronze
18157,1988,"PRIGODA, Guennadi",URS,Bronze
18158,1988,"VOLKOV, Dmitri",URS,Bronze
18159,1988,"YAROSHCHUK, Vadim",URS,Bronze
18160,1988,"BERKOFF, David Charles",USA,Gold
18161,1988,"BIONDI, Matthew",USA,Gold
18162,1988,"JACOBS, Christopher Charles",USA,Gold
18163,1988,"SCHROEDER, Richard Alan",USA,Gold
18164,1988,"DAVIS, Victor",CAN,Silver
18165,1988,"GOSS, Donald Alexander",CAN,Silver
18166,1988,"PONTING, Thomas",CAN,Silver
18167,1988,"TEWKSBURY, Mark",CAN,Silver
18168,1988,"HIGSON, Allison Ann",CAN,Bronze
18169,1988,"KERR, Jane",CAN,Bronze
18170,1988,"MELIEN, Lori",CAN,Bronze
18171,1988,"NUGENT, Andrea",CAN,Bronze
18172,1988,"HÖRNER, Silke",GDR,Gold
18173,1988,"MEISSNER, Katrin",GDR,Gold
18174,1988,"OTTO, Kristin",GDR,Gold
18175,1988,"WEIGANG, Birte",GDR,Gold
18176,1988,"BARR, Elizabeth Cynthia",USA,Silver
18177,1988,"JORGENSEN, Janet Simone",USA,Silver
18178,1988,"MCFARLANE, Tracey",USA,Silver
18179,1988,"MEAGHER, Mary T.",USA,Silver
18180,1988,"MITCHELL, Elizabeth",USA,Silver
18181,1988,"TORRES, Dara",USA,Silver
18182,1988,"WAYTE, Mary Alice",USA,Silver
18183,1988,"FAHRNER, Thomas",FRG,Bronze
18184,1988,"GROSS, Michael",FRG,Bronze
18185,1988,"HENKEL, Rainer",FRG,Bronze
18186,1988,"HOCHSTEIN, Erik",FRG,Bronze
18187,1988,"BIONDI, Matthew",USA,Gold
18188,1988,"CETLINSKI, Matthew J.",USA,Gold
18189,1988,"DALBEY, Troy",USA,Gold
18190,1988,"GJERTSEN, Douglas S.",USA,Gold
18191,1988,"DASSLER, Uwe",GDR,Silver
18192,1988,"FLEMMING, Thomas",GDR,Silver
18193,1988,"LODZIEWSKI, Sven",GDR,Silver
18194,1988,"ZESNER, Steffen",GDR,Silver
18195,1988,"PRIGODA, Guennadi",URS,Bronze
18196,1988,"BIONDI, Matthew",USA,Gold
18197,1988,"JAGER, Thomas Michael",USA,Silver
18198,1988,"MEISSNER, Katrin",GDR,Bronze
18199,1988,"STERKEL, Gillian Ann",USA,Bronze
18200,1988,"OTTO, Kristin",GDR,Gold
18201,1988,"YANG, Wenyi",CHN,Silver
18202,1988,"MCDONALD, Julie",AUS,Bronze
18203,1988,"EVANS, Janet",USA,Gold
18204,1988,"STRAUSS, Astrid",GDR,Silver
18205,1988,"KOTANI, Mikako",JPN,Bronze
18206,1988,"TANAKA, Miyako",JPN,Bronze
18207,1988,"CAMERON, Michelle",CAN,Gold
18208,1988,"WALDO, Carolyn",CAN,Gold
18209,1988,"JOSEPHSON, Karen",USA,Silver
18210,1988,"JOSEPHSON, Sarah",USA,Silver
18211,1988,"KOTANI, Mikako",JPN,Bronze
18212,1988,"WALDO, Carolyn",CAN,Gold
18213,1988,"RUIZ-CONFORTO, Tracie Lehuanani",USA,Silver
18214,1988,"APANASSENKO, Dmitri",URS,Bronze
18215,1988,"BERENDYUGA, Viktor",URS,Bronze
18216,1988,"GIORGADZE, Mikhail",URS,Bronze
18217,1988,"GRISHIN, Evgeni",URS,Bronze
18218,1988,"IVANOV, Mikhail",URS,Bronze
18219,1988,"KOLOTOV, Aleksandr",URS,Bronze
18220,1988,"KOTENKO, Sergei",URS,Bronze
18221,1988,"MARKOCH, Sergei",URS,Bronze
18222,1988,"MENDYGALIEV, Nurlan",URS,Bronze
18223,1988,"MSCHVENIERADZE, Georgi",URS,Bronze
18224,1988,"NAUMOV, Sergey",URS,Bronze
18225,1988,"SHARONOV, Evgeni",URS,Bronze
18226,1988,"SMIRNOV, Nikolai",URS,Bronze
18227,1988,"ANDRIC, Dragan",YUG,Gold
18228,1988,"BEZMALINOVIC, Mislav",YUG,Gold
18229,1988,"BUKIC, Perica",YUG,Gold
18230,1988,"DJUHO, Veselin",YUG,Gold
18231,1988,"GOCANIN, Igor",YUG,Gold
18232,1988,"LUSIC, Deni",YUG,Gold
18233,1988,"MILANOVIC, Igor",YUG,Gold
18234,1988,"PASKVALIN, Tomislav",YUG,Gold
18235,1988,"POSINKOVIC, Renco",YUG,Gold
18236,1988,"RADJENOVIC, Goran",YUG,Gold
18237,1988,"SIMENC, Dubravko",YUG,Gold
18238,1988,"SOSTAR, Aleksandar",YUG,Gold
