,Edition,Athlete,NOC,Medal
2055,1912,"LINDBERG, Knut",SWE,Silver
2056,1912,"LUTHER, Karl August",SWE,Silver
2057,1912,"MÖLLER, Ivan",SWE,Silver
2058,1912,"PERSSON, Ture",SWE,Silver
2059,1912,"HENLEY, Ernest John",GBR,Bronze
2060,1912,"NICOL, George",GBR,Bronze
2061,1912,"SEEDHOUSE, Cyril Norman",GBR,Bronze
2062,1912,"SOUTTER, James Tindal",GBR,Bronze
2063,1912,"LINDBERG, Edward F.",USA,Gold
2064,1912,"MEREDITH, James Edwin",USA,Gold
2065,1912,"REIDPATH, Charles Decker",USA,Gold
2066,1912,"SHEPPARD, Melvin",USA,Gold
2067,1912,"FAILLIOT, Pierre",FRA,Silver
2068,1912,"LELONG, Charles Louis",FRA,Silver
2069,1912,"POULENARD, Charles Alexandre Casimir",FRA,Silver
2070,1912,"SCHURRER, Robert",FRA,Silver
2071,1912,"HUTSON, George William",GBR,Bronze
2072,1912,"KOLEHMAINEN, Hannes",FIN,Gold
2073,1912,"BOUIN, Jean",FRA,Silver
2074,1912,"DAVENPORT, Ira Nelson",USA,Bronze
2075,1912,"MEREDITH, James Edwin",USA,Gold
2076,1912,"SHEPPARD, Melvin",USA,Silver
2077,1912,"EKE, John",SWE,Bronze
2078,1912,"KOLEHMAINEN, Hannes",FIN,Gold
2079,1912,"ANDERSSON, Hjalmar",SWE,Silver
2080,1912,"GLOVER, Ernest",GBR,Bronze
2081,1912,"HIBBINS, Frederick Newton",GBR,Bronze
2082,1912,"HUMPHREYS, Frederick Harkness",GBR,Bronze
2083,1912,"ANDERSSON, Hjalmar",SWE,Gold
2084,1912,"EKE, John",SWE,Gold
2085,1912,"TERNSTRÖM, Josef",SWE,Gold
2086,1912,"ESKOLA, Jalmari",FIN,Silver
2087,1912,"KOLEHMAINEN, Hannes",FIN,Silver
2088,1912,"STENROOS, Albin Oskar",FIN,Silver
2089,1912,"HOLMER, Gösta",SWE,Bronze
2090,1912,"THORPE, Jim",USA,Gold
2091,1912,"WIESLANDER, Hugo K.",SWE,Gold
2092,1912,"LOMBERG, Charles",SWE,Silver
2093,1912,"DUNCAN, James Henry",USA,Bronze
2094,1912,"TAIPALE, Armas Rudolf",FIN,Gold
2095,1912,"BYRD, Richard Leslie",USA,Silver
2096,1912,"MAGNUSSON, Emil",SWE,Bronze
2097,1912,"TAIPALE, Armas Rudolf",FIN,Gold
2098,1912,"NIKLANDER, Elmer Konstantin",FIN,Silver
2099,1912,"CHILDS, Clarence Chester",USA,Bronze
2100,1912,"MCGRATH, Matthew J.",USA,Gold
2101,1912,"GILLIS, Duncan",CAN,Silver
2102,1912,"HORINE, George Leslie",USA,Bronze
2103,1912,"RICHARDS, Alma Wilfred",USA,Gold
2104,1912,"LIESCHE, Hans",GER,Silver
2105,1912,"TSICLITIRAS, Konstantinos",GRE,Bronze
2106,1912,"ADAMS, Platt",USA,Gold
